count,storyText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
0,23,0,0,0,0,0,0,0,0,[23 33 31 12 14 21 44 42 24 11 13 34 22 41 43 32],"['Location' 'Social' 'Location' 'Social' 'Location' 'Social' 'Social'
 'Location' 'Social' 'Location' 'Social' 'Location' 'Location' 'Social'
 'Location' 'Social']",space,1.039062006981112,space,1.7528907658997923,,001,2019_Jan_02_1632,body_updated,60.308907638160676,
0,Grocery shopping Proposal,0,0,0,0,0,1,1,1,,,,,space,2.1681261219782755,,001,2019_Jan_02_1632,body_updated,60.308907638160676,
0,,0,0,0,0,,,,,,,,,,,,001,2019_Jan_02_1632,body_updated,60.308907638160676,
1,33,0,1,1,1,0,0,0,0,,,space,0.6351452909875661,space,2.6698805399937555,,001,2019_Jan_02_1632,body_updated,60.308907638160676,
1,Grocery Shopping Business Deal,0,1,1,1,0,1,1,1,,,,,space,1.7849149539833888,,001,2019_Jan_02_1632,body_updated,60.308907638160676,
1,,0,1,1,1,,,,,,,,,,,,001,2019_Jan_02_1632,body_updated,60.308907638160676,
2,31,0,2,2,2,0,0,0,0,,,space,0.5845258380286396,space,0.5690631089964882,,001,2019_Jan_02_1632,body_updated,60.308907638160676,
2,Restaurant Business Deal,0,2,2,2,0,1,1,1,,,,,space,0.5680564150679857,,001,2019_Jan_02_1632,body_updated,60.308907638160676,
2,,0,2,2,2,,,,,,,,,,,,001,2019_Jan_02_1632,body_updated,60.308907638160676,
3,12,0,3,3,3,0,0,0,0,,,space,0.5851529489737004,space,1.2844292660010979,,001,2019_Jan_02_1632,body_updated,60.308907638160676,
3,Airport Breakup,0,3,3,3,0,1,1,1,,,,,space,1.1526137699838728,,001,2019_Jan_02_1632,body_updated,60.308907638160676,
3,,0,3,3,3,,,,,,,,,,,,001,2019_Jan_02_1632,body_updated,60.308907638160676,
