count,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,order,resp.keys,resp.rt,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
,,,,,[42 23 32 13 44 21 34 11 43 22 33 12 41 24 31 14],s,0.33576227200683206,,,,,s,001,2018_Dec_11_1525,body,59.91978945465416,
0,0,0,0,0,,,,space,2.986375420994591,space,0.6021187269943766,s,001,2018_Dec_11_1525,body,59.91978945465416,
,,,,,,,,space,0.7345503409742378,,,,,,,,
