count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,storyEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,key_resp_5.keys,key_resp_5.rt,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,frameRate,
0,"They carried on talking, and Teresa told him all about her encounter with a Deathstalker scorpion while she was studying abroad in Egypt.",2,2,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,9,7.004012368000019,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0,"After a few minutes, the waitress behind the counter came up to them, “Alrighty, can I take you order?” ",3,3,,,,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,1,3.284153886000013,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0,"She first asked Teresa who answered, “I’ll have a Western Omelette and a glass of milk.”",3,3,,,,,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,,,,,1,2.3693939109999747,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0,"Then the waitress turned to James, “I’ll have the chocolate chip pancakes and a coffee.” ",3,3,,,,,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,,,,,1,3.773172896999995,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0,"“Alrighty, comin’ right up!”",3,3,,,,,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,,,,,,,1,0.9680111760000045,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0,"They picked up their conversation, and James ended up telling Teresa about a concert he was going to later. ",3,3,,,,,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,,,,,,,1,44.415812380000006,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0," He invited her to come along, promising her that the concert would be indoors and absolutely free of venomous insects.",3,3,,,,,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,,,,,,,9,3.768170542000007,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0,"Teresa gave him her number, and they worked out that James would pick her up before the concert, and drive them there.",3,3,,,,,0,0,0,0,0,26,26,26,,,,,,,,,,,,,,,,,,,,,9,3.8191852549999794,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0,"This was not what they had expected from their solitary lunch plans and were both excited, though Teresa was doing a much better job of hiding it than James. ",3,3,,,,,0,0,0,0,0,27,27,27,,,,,,,,,,,,,,,,,,,,,9,9.587294940999982,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0," After awhile,  the waitress brought out their food, and James took this opportunity to scoot closer to her on the log bench. ",4,4,,,,,0,0,0,0,0,28,28,28,,,,,,,,,,,,,,,,,,,,,9,4.370222911999974,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
