count,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,order of stories,order of perspectives,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
0,0,0,0,0,[12 44 34 23 22 13 31 41 33 32 14 11 24 21 42 43],"['Social' 'Location' 'Social' 'Social' 'Location' 'Location' 'Location'
 'Social' 'Location' 'Social' 'Social' 'Location' 'Location' 'Social'
 'Location' 'Social']",space,1.5389554579742253,space,1.118932197918184,,001,2018_Dec_13_1531,body,59.96225960604161,
1,0,1,1,1,,,space,1.7018399130320176,space,1.8357528829947114,,001,2018_Dec_13_1531,body,59.96225960604161,
2,0,2,2,2,,,space,0.9522228519199416,space,0.8347331790719181,,001,2018_Dec_13_1531,body,59.96225960604161,
3,0,3,3,3,,,space,0.5847767919767648,space,0.5360379100311548,,001,2018_Dec_13_1531,body,59.96225960604161,
4,0,4,4,4,,,space,0.5383752409834415,space,0.5188484149985015,,001,2018_Dec_13_1531,body,59.96225960604161,
5,0,5,5,5,,,space,0.48542572103906423,space,0.3844157849671319,,001,2018_Dec_13_1531,body,59.96225960604161,
6,0,6,6,6,,,space,0.43560424097813666,space,0.41861123393755406,,001,2018_Dec_13_1531,body,59.96225960604161,
7,0,7,7,7,,,space,0.5172977480106056,space,0.4675341659458354,,001,2018_Dec_13_1531,body,59.96225960604161,
8,0,8,8,8,,,space,0.45158685406204313,space,0.38597015500999987,,001,2018_Dec_13_1531,body,59.96225960604161,
9,0,9,9,9,,,space,0.43549879896454513,space,0.3680889409733936,,001,2018_Dec_13_1531,body,59.96225960604161,
10,0,10,10,10,,,space,0.3682537559652701,space,0.38538470794446766,,001,2018_Dec_13_1531,body,59.96225960604161,
11,0,11,11,11,,,space,0.36849309504032135,space,0.36765643500257283,,001,2018_Dec_13_1531,body,59.96225960604161,
12,0,12,12,12,,,space,0.2539386849384755,space,0.36905606102664024,,001,2018_Dec_13_1531,body,59.96225960604161,
13,0,13,13,13,,,space,0.3190592300379649,space,0.3023511440260336,,001,2018_Dec_13_1531,body,59.96225960604161,
14,0,14,14,14,,,space,0.2681137981126085,space,0.369114667060785,,001,2018_Dec_13_1531,body,59.96225960604161,
15,0,15,15,15,,,space,0.3529344410635531,space,0.3174921330064535,,001,2018_Dec_13_1531,body,59.96225960604161,
