count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,participant,session,date,expName,frameRate,
0,It will be fine.,3,3.0,,,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,1,0.13294638299885264,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
0,I don’t want to break up.”,3,3.0,,,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,,9,0.11936896300176159,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
0,"Maria felt so guilty that she nearly gave in, but forced herself to hold her ground, knowing that this would make things much easier for both of them in the future.",3,3.0,,,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,1,0.06842431900076917,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
0,"She gave his hand a squeeze but shook her head sadly, before turning back to her laptop and half-heartedly taking notes on the lecture which they sat through in painful silence.",3,3.0,,,0,0,0,0,,,,,0,24,24,24,,,,,,,,,,,9,0.06821200299964403,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
0,"Finally, the professor was wrapping up, “This is what Aristotle means when he says that an animal’s or plant’s form rather than its matter is its nature. ",4,3.0,,,0,0,0,0,,,,,0,25,25,25,,,,,,,,,,,1,0.08424583900159632,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
0,"Alright class, that’s all for today. ",4,3.0,,,0,0,0,0,,,,,0,26,26,26,,,,,,,,,,,9,0.10137276299974474,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
0,"Remember the final exam is coming up next week on Tuesday on the Pre-Socratics, Plato, and Aristotle, so feel free to come by office hours to discuss if you have the inspiration.",4,3.0,,,0,0,0,0,,,,,0,27,27,27,,,,,,,,,,,1,0.05171409899958235,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
0,"And if anyone is doing the 20 page paper in lieu of the final, that’s due next Tuesday as well.",4,3.0,,,0,0,0,0,,,,,0,28,28,28,,,,,,,,,,,9,0.08363841899881663,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
0,"Have a good day, folks.” ",4,3.0,,,0,0,0,0,,,,,0,29,29,29,,,,,,,,,,,1,0.06754538800123555,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
0,"Maria and Henry packed up hurriedly, and slipped quickly out of the class before the rest of the crowd. ",4,3.0,,,0,0,0,0,,,,,0,30,30,30,,,,,,,,,,,9,0.1021529030003876,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
0,"They hugged outside, and both of them were crying. ",4,4.0,,,0,0,0,0,,,,,0,31,31,31,,,,,,,,,,,1,0.017849636999017093,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
0,"“Maria, I don’t want you to leave.",4,4.0,,,0,0,0,0,,,,,0,32,32,32,,,,,,,,,,,9,0.16775845700067293,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
0,I don’t want this to end. ,None,None,,,0,0,0,0,,,,,0,33,33,33,,,,,,,,,,,1,0.08440173900089576,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
0,"But if this is what you think is best, I can’t make it otherwise.” ",pandro,4.0,,,0,0,0,0,,,,,0,34,34,34,,,,,,,,,,,9,0.13335542599998007,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
0,"They hugged one last time, and Maria ran off to get her things from her dorm.",4,4.0,,,0,0,0,0,,,,,0,35,35,35,,,,,,,,,,,1,0.0688452669983235,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
0,Henry sadly watched her go. ,4,4.0,,,0,0,0,0,,,,,0,36,36,36,,,,,,,,,,,9,0.06851489700056845,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,space,1.7525295670002379,space,0.6507559580004454,space,0.7516595600009168,,,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,"Alvira and Senna walked into the restaurant hand in sweaty hand with quite different expectations: Senna was going to propose tonight, and Alvira had no idea.",1,1,None,None,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,1,2.1356413060002524,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,"He took a deep breath, trying to calm his nerves as worst case scenarios ran through his mind. ",1,1,None,None,0,1,1,1,,,,,0,1,1,1,,,,,,,,,,,9,0.0669356099988363,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,The entrance of the restaurant was dazzling; chandeliers spread their warm light onto the delicate place settings of all the tables filled with guests dressed to the nines. ,1,1,None,None,0,1,1,1,,,,,0,2,2,2,,,,,,,,,,,1,0.05094332999942708,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,"Through the floor-to-ceiling arched windows of the back wall, they saw the sun setting onto the Pacific ocean.",1,1,None,None,0,1,1,1,,,,,0,3,3,3,,,,,,,,,,,1,0.2012519340005383,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,"This was surely one of the best restaurants on the west coast, situated right on the beach.",1,1,None,None,0,1,1,1,,,,,0,4,4,4,,,,,,,,,,,1,0.1850305220013979,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,"Senna gave his name to the host, who quickly located their reservation with an almost comically wide customer-service smile.",1,1,7.0,None,0,1,1,1,,,,,0,5,5,5,,,,,,,,,,,9,0.001705145999949309,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,He led them to a table right by the window.,2,1,None,None,0,1,1,1,,,,,0,6,6,6,,,,,,,,,,,1,0.11692815599963069,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
