count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,recall,question1_correct_perspective,question2_correct_perspective,question3_correct_perspective,question4_correct_perspective,participant,session,date,expName,frameRate,
0," “Well Jessie, this makes perfect sense. ",3,3,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,1,0.15218158392235637,,,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
0,"If you feel this way, then I don’t want to keep boring you, and I agree, let’s part ways once we make it back.",3,3,,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,,,1,0.11811435990966856,,,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
0,"I thought we were having a lovely time, but if the feeling was not mutual then so be it.”",3,3,,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,,,1,0.1512339209439233,,,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
0,"He was clearly hurt, but thought it was pointless to argue. ",3,3,,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,,,,,1,0.16910645097959787,,,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
0,"They finally made it to the gate, just as they heard the final call for passengers boarding their flight.",3,3,,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,,,,,1,0.1004392490722239,,,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
0,"They scanned their tickets, and the annoyed flight attendant shooed them onto the jet bridge and then closed the door behind them.",4,3,,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,,,,,1,0.11628224304877222,,,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
0,"Luckily, they had forgotten to arrange seats next to each other on the flight back.",4,3,,0,0,0,0,0,26,26,26,,,,,,,,,,,,,,,,,,,1,0.13531588099431247,,,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
0,"They both had first-class tickets, but Jessie was headed for seat 1B while Calvin's ticket was for 4F. ",4,3,,0,0,0,0,0,27,27,27,,,,,,,,,,,,,,,,,,,1,0.08525654894765466,,,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
0,"Before Jessie sat down, she took a deep breath and then awkwardly shook Calvin’s hand, mumbling, “Well, have a nice flight.” ",4,4,,0,0,0,0,0,28,28,28,,,,,,,,,,,,,,,,,,,1,0.13298327196389437,,,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
0,He laughed in disbelief and walked to his window seat three rows back to get ready for takeoff.,4,4,,0,0,0,0,0,29,29,29,,,,,,,,,,,,,,,,,,,1,0.1339884060434997,,,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
0,"Both were at least relieved that the vacation and the fights were over, and they were looking forward to never having to struggle through another conversation together again.
",4,4,,0,0,0,0,0,30,30,30,,,,,,,,,,,,,,,,,,,1,0.11917467310559005,,,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,0.8353891490260139,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.533278068061918,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
,,,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.3844836140051484,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
,,,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,0.3019290309166536,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
,,,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,0.38557194103486836,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
,,,,The next part of the task is to answer questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,space,0.7869804019574076,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
,,,,The next part of the task is to answer questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
,,,,You will be asked the questions you were asked to remember for the job simulated during each story.,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,space,0.4018269960070029,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
,,,,You will be asked the questions you were asked to remember for the job simulated during each story.,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
,,,,You will also be asked questions that we didn’t tell you to think of for that story.,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,space,0.38632821303326637,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
,,,,You will also be asked questions that we didn’t tell you to think of for that story.,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
,,,,"We realize that we did not tell you to think of these questions during the story, but do your best to answer all these questions. ",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,space,0.43371056800242513,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
,,,,"We realize that we did not tell you to think of these questions during the story, but do your best to answer all these questions. ",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
,,,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,space,0.3521862409543246,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
,,,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,space,1.1513443619478494,,',,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,space,0.7347623490495607,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
2,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,space,1.3521727700717747,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
