count,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,order,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
0,0,0,0,0,[44 12 34 22 43 11 33 21 42 14 32 24 41 13 31 23],space,1.8725901789730415,,,,001,2018_Dec_11_1253,body,60.12532186348296,
0,0,0,0,0,,,,space,1.2863257760182023,,001,2018_Dec_11_1253,body,60.12532186348296,
0,0,0,0,0,,,,,,,001,2018_Dec_11_1253,body,60.12532186348296,
1,0,1,1,1,,space,4.352920175995678,,,,001,2018_Dec_11_1253,body,60.12532186348296,
1,0,1,1,1,,,,space,1.2499866349971853,,001,2018_Dec_11_1253,body,60.12532186348296,
1,0,1,1,1,,,,,,,001,2018_Dec_11_1253,body,60.12532186348296,
2,0,2,2,2,,space,1.4847512519918382,,,,001,2018_Dec_11_1253,body,60.12532186348296,
2,0,2,2,2,,,,space,1.351505968021229,,001,2018_Dec_11_1253,body,60.12532186348296,
2,0,2,2,2,,,,,,,001,2018_Dec_11_1253,body,60.12532186348296,
3,0,3,3,3,,space,1.053056787000969,,,,001,2018_Dec_11_1253,body,60.12532186348296,
3,0,3,3,3,,,,space,0.7854573240038007,,001,2018_Dec_11_1253,body,60.12532186348296,
3,0,3,3,3,,,,,,,001,2018_Dec_11_1253,body,60.12532186348296,
4,0,4,4,4,,space,0.651793087949045,,,,001,2018_Dec_11_1253,body,60.12532186348296,
4,0,4,4,4,,,,space,0.7849566190270707,,001,2018_Dec_11_1253,body,60.12532186348296,
4,0,4,4,4,,,,,,,001,2018_Dec_11_1253,body,60.12532186348296,
5,0,5,5,5,,space,0.6189471849938855,,,,001,2018_Dec_11_1253,body,60.12532186348296,
5,0,5,5,5,,,,space,0.7525522650103085,,001,2018_Dec_11_1253,body,60.12532186348296,
5,0,5,5,5,,,,,,,001,2018_Dec_11_1253,body,60.12532186348296,
6,0,6,6,6,,space,1.0517591090174392,,,,001,2018_Dec_11_1253,body,60.12532186348296,
6,0,6,6,6,,,,space,0.9183401410118677,,001,2018_Dec_11_1253,body,60.12532186348296,
6,0,6,6,6,,,,,,,001,2018_Dec_11_1253,body,60.12532186348296,
7,0,7,7,7,,space,0.6686069259885699,,,,001,2018_Dec_11_1253,body,60.12532186348296,
7,0,7,7,7,,,,space,0.5520436430233531,,001,2018_Dec_11_1253,body,60.12532186348296,
7,0,7,7,7,,,,,,,001,2018_Dec_11_1253,body,60.12532186348296,
8,0,8,8,8,,space,0.8174678049981594,,,,001,2018_Dec_11_1253,body,60.12532186348296,
8,0,8,8,8,,,,space,0.6850165349896997,,001,2018_Dec_11_1253,body,60.12532186348296,
8,0,8,8,8,,,,,,,001,2018_Dec_11_1253,body,60.12532186348296,
9,0,9,9,9,,space,0.7859574859612621,,,,001,2018_Dec_11_1253,body,60.12532186348296,
9,0,9,9,9,,,,space,0.6201513389823958,,001,2018_Dec_11_1253,body,60.12532186348296,
9,0,9,9,9,,,,,,,001,2018_Dec_11_1253,body,60.12532186348296,
10,0,10,10,10,,space,0.5515153449960053,,,,001,2018_Dec_11_1253,body,60.12532186348296,
10,0,10,10,10,,,,space,0.21769148897146806,,001,2018_Dec_11_1253,body,60.12532186348296,
10,0,10,10,10,,,,,,,001,2018_Dec_11_1253,body,60.12532186348296,
11,0,11,11,11,,space,0.3019160919939168,,,,001,2018_Dec_11_1253,body,60.12532186348296,
11,0,11,11,11,,,,space,0.2191035199793987,,001,2018_Dec_11_1253,body,60.12532186348296,
11,0,11,11,11,,,,,,,001,2018_Dec_11_1253,body,60.12532186348296,
12,0,12,12,12,,space,0.28488970396574587,,,,001,2018_Dec_11_1253,body,60.12532186348296,
12,0,12,12,12,,,,space,0.25074881198816,,001,2018_Dec_11_1253,body,60.12532186348296,
12,0,12,12,12,,,,,,,001,2018_Dec_11_1253,body,60.12532186348296,
13,0,13,13,13,,space,0.20130780298495665,,,,001,2018_Dec_11_1253,body,60.12532186348296,
13,0,13,13,13,,,,space,0.2019292659824714,,001,2018_Dec_11_1253,body,60.12532186348296,
13,0,13,13,13,,,,,,,001,2018_Dec_11_1253,body,60.12532186348296,
14,0,14,14,14,,space,0.16812121396651492,,,,001,2018_Dec_11_1253,body,60.12532186348296,
14,0,14,14,14,,,,space,0.16610322101041675,,001,2018_Dec_11_1253,body,60.12532186348296,
14,0,14,14,14,,,,,,,001,2018_Dec_11_1253,body,60.12532186348296,
15,0,15,15,15,,space,0.13488922704709694,,,,001,2018_Dec_11_1253,body,60.12532186348296,
15,0,15,15,15,,,,space,0.16799369803629816,,001,2018_Dec_11_1253,body,60.12532186348296,
15,0,15,15,15,,,,,,,001,2018_Dec_11_1253,body,60.12532186348296,
