count,storyText,locationEvent,socialEvent,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,0,0,0,0,0,0,0,0,,,,,[42 44 33 31 21 12 14 23 41 13 22 43 32 11 34 24],"['Social' 'Location' 'Location' 'Social' 'Location' 'Location' 'Social'
 'Social' 'Location' 'Location' 'Social' 'Social' 'Location' 'Social'
 'Social' 'Location']",[41 13 22 43 32 11 34 24],"['Location' 'Location' 'Social' 'Social' 'Location' 'Social' 'Social'
 'Location']",space,4.591958792000014,space,1.2197190150000097,space,1.5196723720000591,,,,',001,2019_Feb_18_1707,body_behavioural,3.0.3,59.86329856592539,
0,David saw Anna for the first time when she burst into the airport with her bag skidding behind her half-zipped. ,1,1,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,space,1.952342735000002,None,',001,2019_Feb_18_1707,body_behavioural,3.0.3,59.86329856592539,
0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,space,0.8701967270000068,,',001,2019_Feb_18_1707,body_behavioural,3.0.3,59.86329856592539,
