instruct_text,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,space,0.4538908579852432,,,',001,2019_Jun_11_1200,part1_subjective_segmentation,3.0.4,59.86470947239963,
"In this experiment, you will be assuming the perspectives of various jobs while reading short stories.",0,0,0,0,,,space,0.48617996502434835,',001,2019_Jun_11_1200,part1_subjective_segmentation,3.0.4,59.86470947239963,
There are 4 parts of the experiment. ,0,1,1,1,,,space,0.38611317897448316,',001,2019_Jun_11_1200,part1_subjective_segmentation,3.0.4,59.86470947239963,
1,0,2,2,2,,,space,0.38644494803156704,',001,2019_Jun_11_1200,part1_subjective_segmentation,3.0.4,59.86470947239963,
"In the first part, you'll be introduced to the perspectives of 8 different jobs.",0,3,3,3,,,space,0.31942155899014324,',001,2019_Jun_11_1200,part1_subjective_segmentation,3.0.4,59.86470947239963,
"For each short story, you'll be assigned one of these perspectives to assume while you read it. ",0,4,4,4,,,space,0.4196879750234075,',001,2019_Jun_11_1200,part1_subjective_segmentation,3.0.4,59.86470947239963,
"In this first part of the experiment, you'll learn 4 questions associated with each perspective that you'll use when reading the stories with that particular perspective. ",0,5,5,5,,,space,0.32001437002327293,',001,2019_Jun_11_1200,part1_subjective_segmentation,3.0.4,59.86470947239963,
The 4 questions for each perspective are learned with quizzes. ,0,6,6,6,,,space,0.3527992219896987,',001,2019_Jun_11_1200,part1_subjective_segmentation,3.0.4,59.86470947239963,
2,0,7,7,7,,,space,0.6036465999786742,',001,2019_Jun_11_1200,part1_subjective_segmentation,3.0.4,59.86470947239963,
"In the second part of the experiment, you will read 8 short stories. ",0,8,8,8,,,space,0.3355433139950037,',001,2019_Jun_11_1200,part1_subjective_segmentation,3.0.4,59.86470947239963,
