count,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,order,resp.keys,resp.rt,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
,,,,,[11 43 21 33 12 44 22 34 13 41 23 31 14 42 24 32],s,0.686520978983026,,,,,,001,2018_Dec_11_1520,body,60.26319589977571,
0,0,0,0,0,,,,space,2.486731946992222,space,2.6677553200279362,,001,2018_Dec_11_1520,body,60.26319589977571,
1,0,1,1,1,,,,space,0.735932830022648,space,0.5681888289982453,,001,2018_Dec_11_1520,body,60.26319589977571,
2,0,2,2,2,,,,space,0.5856469599530101,space,0.5180986860068515,,001,2018_Dec_11_1520,body,60.26319589977571,
3,0,3,3,3,,,,space,0.9839485200354829,space,0.851343579008244,,001,2018_Dec_11_1520,body,60.26319589977571,
4,0,4,4,4,,,,space,0.8848797079990618,space,0.769466322963126,,001,2018_Dec_11_1520,body,60.26319589977571,
5,0,5,5,5,,,,space,0.43499774398515,space,0.6179668229888193,,001,2018_Dec_11_1520,body,60.26319589977571,
6,0,6,6,6,,,,space,0.48498026898596436,space,0.5032223670277745,,001,2018_Dec_11_1520,body,60.26319589977571,
7,0,7,7,7,,,,space,0.751582294004038,space,0.3185364819946699,,001,2018_Dec_11_1520,body,60.26319589977571,
8,0,8,8,8,,,,space,0.28548123402288184,space,0.317771547997836,,001,2018_Dec_11_1520,body,60.26319589977571,
9,0,9,9,9,,,,space,0.2507988850120455,space,0.18483665602980182,,001,2018_Dec_11_1520,body,60.26319589977571,
10,0,10,10,10,,,,space,0.16980869800318033,space,0.20097694505238906,,001,2018_Dec_11_1520,body,60.26319589977571,
11,0,11,11,11,,,,space,0.13550437102094293,space,0.18509436398744583,,001,2018_Dec_11_1520,body,60.26319589977571,
12,0,12,12,12,,,,space,0.15266046399483457,space,0.16853510699002072,,001,2018_Dec_11_1520,body,60.26319589977571,
