count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,participant,session,date,expName,frameRate,
0,"She instantly liked him when she saw him; he had very soft eyes and sharp features, a combination that made him seem  trustworthy and genuine.",2,2,,,,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.10264752799957932,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
0,He smiled at her and she flashed him a smile back.,2,2,,,,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.015535794000243186,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
0,Then she turned the note over to the back and started to write a reply.,2,2,,,,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.06738407000011648,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
0,"Meanwhile the professor continued, “One may well question why the ancient Egyptians spent so much time and effort on their funerary practices.",3,2,,,,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.03589716500027862,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
0,"Not only was the mummification process itself a complicated affair, but there were also elaborate rituals before, during, and after death.",3,2,,,,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.0003016360005858587,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
0,The practice required teams of experts with years of training and took a total of 70 days to complete.” ,3,2,,,,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.1023099510002794,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
0,"Ariana passed the note back to Leon, and she had replied, “No, but maybe my twin and I were separated at birth.”",3,2,,,,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.13462476099994092,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
0,They passed notes back and forth the whole class like they were back in high school.,3,2,,,,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.1342606819998764,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
0,"Near the end of the lecture, Leon wrote, “Would you like to go to dinner tonight?” ",3,3,,,,0,0,0,0,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.15725904099963373,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
0,"Ariana read the note, and looked at him and nodded her head",3,3,,,,0,0,0,0,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.05182797799898253,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
0,"She wrote back on the slip of paper, “Pick me up at 6 in front of Patton Hall.”",3,3,,,,0,0,0,0,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.023935122999318992,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
0,Then the professor ended the lecture and announced to the class that they would have their first quiz next class on Friday on mummification. ,4,3,,,,0,0,0,0,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.18519617799938715,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
0,"Everyone packed up and started heading out, as well as Sophie and Leon.",4,3,,,,0,0,0,0,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.2668870839988813,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
0,"They approached each other smiling, and Leon said, “Well it was great to meet you, again, or maybe not again, but regardless it was great to meet you.” ",4,3,,,,0,0,0,0,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.001802820999728283,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
0,"She replied, “Yes, it was.",4,4,,,,0,0,0,0,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.15150178300064,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
0,"I have to run to my next class, but I’ll see you later tonight.” ",4,4,,,,0,0,0,0,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.001736320999043528,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
0,"She waved as they parted ways outside of the door of the classroom, and Leon was still trying to figure out where he had seen her before as he watched her go. ",4,4,,,,0,0,0,0,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.15265456599991012,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
