instruct_text,this_pic,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_8.keys,key_resp_8.rt,participant,session,date,expName,psychopyVersion,frameRate,
Welcome to the Job Simulator Task!,instructions_photos/pixel.png,0,0,0,0,space,0.6546694050011865,',001,2019_Feb_13_1047,part1_subjective_segmentation,3.0.3,59.909635420836274,
"In this task, you’ll first be introduced to the perspectives of 8 different jobs. ",instructions_photos/i1.png,0,1,1,1,space,3.167567072001475,',001,2019_Feb_13_1047,part1_subjective_segmentation,3.0.3,59.909635420836274,
You’ll then learn 4 questions associated with each perspective. ,instructions_photos/i2.png,0,2,2,2,space,2.2538401000001613,',001,2019_Feb_13_1047,part1_subjective_segmentation,3.0.3,59.909635420836274,
