count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,key_resp_5.keys,story_presses.keys,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,frameRate,
0,"Alex was a distracted, sweaty mess as he walked into the grocery store with Chloe; he was hoping that she wouldn't suspect that he was about to propose.",1,1,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,[23 24 31 44 43 12 32 11 14 13 34 33 41 21 42 22],"['Location' 'Social' 'Social' 'Location' 'Social' 'Social' 'Location'
 'Location' 'Social' 'Location' 'Location' 'Social' 'Social' 'Location'
 'Location' 'Social']",None,None,,,,,,,',001,2019_Jan_23_1455,body_behavioural,59.71670409276804,
0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1455,body_behavioural,59.71670409276804,
,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,2.0700932249892503,,,,,',001,2019_Jan_23_1455,body_behavioural,59.71670409276804,
,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.3525671659735963,,,,,',001,2019_Jan_23_1455,body_behavioural,59.71670409276804,
,,,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.11733697296585888,,,,,',001,2019_Jan_23_1455,body_behavioural,59.71670409276804,
,,,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,0.1508006879594177,,,,,',001,2019_Jan_23_1455,body_behavioural,59.71670409276804,
,,,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,0.4521352519514039,,,,,',001,2019_Jan_23_1455,body_behavioural,59.71670409276804,
0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1455,body_behavioural,59.71670409276804,
,,,,The next part of the task is to answer 8 questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,space,1.16812843689695,,,',001,2019_Jan_23_1455,body_behavioural,59.71670409276804,
,,,,The next part of the task is to answer 8 questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,',001,2019_Jan_23_1455,body_behavioural,59.71670409276804,
,,,,Some of the questions are not related to the perspective you were asked to assume.,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,space,0.2836745020467788,,,',001,2019_Jan_23_1455,body_behavioural,59.71670409276804,
,,,,Some of the questions are not related to the perspective you were asked to assume.,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,',001,2019_Jan_23_1455,body_behavioural,59.71670409276804,
,,,,"We realize that we did not tell you to think of these questions during the story, but do your best to answer them.",,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,space,0.3860744599951431,,,',001,2019_Jan_23_1455,body_behavioural,59.71670409276804,
,,,,"We realize that we did not tell you to think of these questions during the story, but do your best to answer them.",,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,',001,2019_Jan_23_1455,body_behavioural,59.71670409276804,
,,,,"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,space,0.3687094129854813,,,',001,2019_Jan_23_1455,body_behavioural,59.71670409276804,
,,,,"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,',001,2019_Jan_23_1455,body_behavioural,59.71670409276804,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6351916899438947,,,,,,
