count,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,order,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
0,0,0,0,0,[11 22 31 42 13 24 33 44 12 21 32 41 14 23 34 43],space,0.9851759750163183,,001,2018_Dec_07_1708,body,61.502529675048855,
1,0,1,1,1,,space,0.15235783898970112,,001,2018_Dec_07_1708,body,61.502529675048855,
2,0,2,2,2,,space,0.11759743996663019,,001,2018_Dec_07_1708,body,61.502529675048855,
3,0,3,3,3,,space,0.11840373498853296,,001,2018_Dec_07_1708,body,61.502529675048855,
4,0,4,4,4,,space,0.21699733496643603,,001,2018_Dec_07_1708,body,61.502529675048855,
5,0,5,5,5,,space,0.03511142102070153,,001,2018_Dec_07_1708,body,61.502529675048855,
6,0,6,6,6,,space,0.16873234300874174,,001,2018_Dec_07_1708,body,61.502529675048855,
7,0,7,7,7,,space,0.1168641279800795,,001,2018_Dec_07_1708,body,61.502529675048855,
8,0,8,8,8,,space,0.11723059701034799,,001,2018_Dec_07_1708,body,61.502529675048855,
9,0,9,9,9,,space,0.11712327197892591,,001,2018_Dec_07_1708,body,61.502529675048855,
10,0,10,10,10,,space,0.11829451803350821,,001,2018_Dec_07_1708,body,61.502529675048855,
11,0,11,11,11,,space,0.10142639902187511,,001,2018_Dec_07_1708,body,61.502529675048855,
12,0,12,12,12,,space,0.13636751496233046,,001,2018_Dec_07_1708,body,61.502529675048855,
13,0,13,13,13,,space,0.1170946010388434,,001,2018_Dec_07_1708,body,61.502529675048855,
14,0,14,14,14,,space,0.08548532502027228,,001,2018_Dec_07_1708,body,61.502529675048855,
15,0,15,15,15,,space,0.13573539798380807,,001,2018_Dec_07_1708,body,61.502529675048855,
