count,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,order of stories,order of perspectives,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
0,0,0,0,0,[11 42 44 23 34 21 13 32 43 14 41 31 24 12 33 22],"['Social' 'Social' 'Location' 'Social' 'Social' 'Location' 'Location'
 'Location' 'Social' 'Social' 'Location' 'Social' 'Location' 'Location'
 'Location' 'Social']",space,4.957199833006598,space,2.968534781015478,34,001,2018_Dec_13_1533,body,60.41321907168785,
1,0,1,1,1,,,space,2.1701224950375035,space,3.869837892940268,34,001,2018_Dec_13_1533,body,60.41321907168785,
2,0,2,2,2,,,space,3.2838596230139956,space,3.670362900942564,34,001,2018_Dec_13_1533,body,60.41321907168785,
3,0,3,3,3,,,space,2.4862041340675205,space,3.2195361310150474,34,001,2018_Dec_13_1533,body,60.41321907168785,
4,0,4,4,4,,,space,5.469706316944212,space,4.15348673495464,34,001,2018_Dec_13_1533,body,60.41321907168785,
5,0,5,5,5,,,space,2.669784868019633,space,4.635880987974815,34,001,2018_Dec_13_1533,body,60.41321907168785,
6,0,6,6,6,,,space,4.653466413030401,space,7.3041822540108114,34,001,2018_Dec_13_1533,body,60.41321907168785,
7,0,7,7,7,,,space,3.620871923980303,space,4.2529496339848265,34,001,2018_Dec_13_1533,body,60.41321907168785,
8,0,8,8,8,,,space,2.651626694947481,space,3.2365402770228684,34,001,2018_Dec_13_1533,body,60.41321907168785,
9,0,9,9,9,,,space,2.269182091928087,space,3.5524520040489733,34,001,2018_Dec_13_1533,body,60.41321907168785,
10,0,10,10,10,,,space,4.33675098605454,space,3.020469851908274,34,001,2018_Dec_13_1533,body,60.41321907168785,
11,0,11,11,11,,,space,3.2352800499647856,space,1.1189048180822283,34,001,2018_Dec_13_1533,body,60.41321907168785,
12,0,12,12,12,,,space,9.088697894942015,space,2.6034518220694736,34,001,2018_Dec_13_1533,body,60.41321907168785,
13,0,13,13,13,,,space,5.822083311039023,space,2.6700877220137045,34,001,2018_Dec_13_1533,body,60.41321907168785,
14,0,14,14,14,,,space,4.168561454047449,space,3.2695665509672835,34,001,2018_Dec_13_1533,body,60.41321907168785,
15,0,15,15,15,,,space,2.034760004025884,space,2.0355006529716775,34,001,2018_Dec_13_1533,body,60.41321907168785,
