count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[24 13 41 34 32 22 11 43 23 44 31 33 21 42 14 12],"['Social' 'Social' 'Social' 'Location' 'Social' 'Location' 'Location'
 'Location' 'Social' 'Location' 'Social' 'Location' 'Location' 'Social'
 'Social' 'Location']",[23 44 31 33 21 42 14 12],"['Social' 'Location' 'Social' 'Location' 'Location' 'Social' 'Social'
 'Location']",space,0.4050341700001354,space,0.4029934330001197,space,0.4368065480000496,,,,,,,,,,',001,2019_Feb_21_1143,body_behavioural,3.0.4,60.017191924639015,
0,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,space,0.58392083800004,,,,,,,,,,',001,2019_Feb_21_1143,body_behavioural,3.0.4,60.017191924639015,
0,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,space,2.0867068999998537,,,,,,,,,,',001,2019_Feb_21_1143,body_behavioural,3.0.4,60.017191924639015,
0,"Lana walked into lecture holding hands with her boyfriend, Aaron, who was trying to contain his excitement and anticipation for proposing to Lana in this class. ",1,1,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,None,,,,,,,,,',001,2019_Feb_21_1143,body_behavioural,3.0.4,60.017191924639015,
0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1143,body_behavioural,3.0.4,60.017191924639015,
1,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,space,0.2856813200000943,None,,space,0.63638375000005,,,,,,,,,,',001,2019_Feb_21_1143,body_behavioural,3.0.4,60.017191924639015,
1,The grocery store was not the place Emmanuella and Liam wanted to be at the moment considering they had been fighting beforehand to the point where Emmanuella was thinking of breaking up with Liam.,1,1,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,None,,,,,,,,,',001,2019_Feb_21_1143,body_behavioural,3.0.4,60.017191924639015,
1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1143,body_behavioural,3.0.4,60.017191924639015,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.374558180000122,space,0.736251153000012,,,,,,',001,2019_Feb_21_1143,body_behavioural,3.0.4,60.017191924639015,
,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,space,0.48650843999985227,,,,',001,2019_Feb_21_1143,body_behavioural,3.0.4,60.017191924639015,
,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,space,0.35218252499998925,,,,',001,2019_Feb_21_1143,body_behavioural,3.0.4,60.017191924639015,
,,,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,space,0.3184779680000247,,,,',001,2019_Feb_21_1143,body_behavioural,3.0.4,60.017191924639015,
,,,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,space,0.30394735499999115,,,,',001,2019_Feb_21_1143,body_behavioural,3.0.4,60.017191924639015,
,,,,There is a 5 minute time limit to make your response. ,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,space,0.30308437500002583,,,,',001,2019_Feb_21_1143,body_behavioural,3.0.4,60.017191924639015,
0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,0.4030693820000124,Dkjfl,',001,2019_Feb_21_1143,body_behavioural,3.0.4,60.017191924639015,
1,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,2.5034609879999152,,',001,2019_Feb_21_1143,body_behavioural,3.0.4,60.017191924639015,
