instruct_text,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,space,0.5554129050578922,,,',001,2019_Jun_11_0517,part1_subjective_segmentation,3.0.4,60.02456265034304,
"In this experiment, you will be assuming the perspectives of various jobs while reading short stories.",0,0,0,0,,,space,3.6196607049787417,',001,2019_Jun_11_0517,part1_subjective_segmentation,3.0.4,60.02456265034304,
There are 4 parts of the experiment. ,0,1,1,1,,,space,1.6694540930329822,',001,2019_Jun_11_0517,part1_subjective_segmentation,3.0.4,60.02456265034304,
"In the first part, you'll be introduced to the perspectives of 8 different jobs.",0,2,2,2,,,space,3.086360892979428,',001,2019_Jun_11_0517,part1_subjective_segmentation,3.0.4,60.02456265034304,
You'll learn 4 questions associated with each perspective that you'll use when reading the stories. ,0,3,3,3,,,space,4.853716613957658,',001,2019_Jun_11_0517,part1_subjective_segmentation,3.0.4,60.02456265034304,
These 4 questions are learned with quizzes for each perspective.,0,4,4,4,,,space,5.503312522021588,',001,2019_Jun_11_0517,part1_subjective_segmentation,3.0.4,60.02456265034304,
