count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,psychopyVersion,frameRate,
0,"James eventually turned to her and asked, “Your forehead alright?”",2,2,,,,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.4697251550023793,,,,,,,,,,,,,,,,,,,,,,,,,022819_p3,001,2019_Feb_28_1619,body_behavioural,3.0.4,60.159468793980714,
0,She put down her book and gave him a smirk.,2,2,,,,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.300795074999769,,,,,,,,,,,,,,,,,,,,,,,,,022819_p3,001,2019_Feb_28_1619,body_behavioural,3.0.4,60.159468793980714,
0,"“Have you ever been stung by a scorpion?”, she asked him, tilting her head.",2,2,,,,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.086625152998749,,,,,,,,,,,,,,,,,,,,,,,,,022819_p3,001,2019_Feb_28_1619,body_behavioural,3.0.4,60.159468793980714,
0,"“What?”, he asked confusedly.",2,2,,,,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.4530715600012627,,,,,,,,,,,,,,,,,,,,,,,,,022819_p3,001,2019_Feb_28_1619,body_behavioural,3.0.4,60.159468793980714,
0, “A scorpion.”,2,2,,,,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0196931270002096,,,,,,,,,,,,,,,,,,,,,,,,,022819_p3,001,2019_Feb_28_1619,body_behavioural,3.0.4,60.159468793980714,
0,James began to worry that Teresa had possibly suffered a concussion in the door crash.,2,2,,,,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.2365006799991534,,,,,,,,,,,,,,,,,,,,,,,,,022819_p3,001,2019_Feb_28_1619,body_behavioural,3.0.4,60.159468793980714,
0,"“Uh no, why?” ",2,2,,,,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.5030907000000298,,,,,,,,,,,,,,,,,,,,,,,,,022819_p3,001,2019_Feb_28_1619,body_behavioural,3.0.4,60.159468793980714,
0,"“Because I’ve been stung by one, and since then, things like bumping into doors seem like pretty small potatoes.” ",2,2,,,,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7.034487765002268,,,,,,,,,,,,,,,,,,,,,,,,,022819_p3,001,2019_Feb_28_1619,body_behavioural,3.0.4,60.159468793980714,
0,"They carried on talking, and Teresa told him all about her encounter with a Deathstalker scorpion while she was studying abroad in Egypt.",2,2,,,,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5.753308570001536,,,,,,,,,,,,,,,,,,,,,,,,,022819_p3,001,2019_Feb_28_1619,body_behavioural,3.0.4,60.159468793980714,
0,"After a few minutes, the waitress behind the counter came up to them, “Alrighty, can I take you order?” ",3,3,,,,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5.636802585002442,,,,,,,,,,,,,,,,,,,,,,,,,022819_p3,001,2019_Feb_28_1619,body_behavioural,3.0.4,60.159468793980714,
