count,storyText,locationEvent,socialEvent,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,second half of x,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story_presses.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,"“Well, Jessie, this makes perfect sense. ",3,3,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,,9,0.0029455869998855633,',001,2019_Feb_20_1448,SECONDPART_body_behavioural,3.0.4,60.00804947982545,
0,"If you feel this way, then I don’t want to keep boring you, and I agree, let’s part ways once we make it back.",3,3,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,,,1,0.08621366000033959,',001,2019_Feb_20_1448,SECONDPART_body_behavioural,3.0.4,60.00804947982545,
0,You should’ve spoken up about my apparent intolerability before you decided to plan this vacation.”,3,3,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,,9,0.017426198000066506,',001,2019_Feb_20_1448,SECONDPART_body_behavioural,3.0.4,60.00804947982545,
0,"He was clearly hurt, but thought it was pointless to argue. ",3,3,0,0,0,0,,,,,0,24,24,24,,,,,,,,,,,,1,0.1364449880002212,',001,2019_Feb_20_1448,SECONDPART_body_behavioural,3.0.4,60.00804947982545,
0,"They finally made it to the gate, just as they heard the final call for passengers boarding their flight.",3,3,0,0,0,0,,,,,0,25,25,25,,,,,,,,,,,,9,0.06945848999976079,',001,2019_Feb_20_1448,SECONDPART_body_behavioural,3.0.4,60.00804947982545,
0,"They scanned their tickets, and the annoyed flight attendant shooed them onto the jet bridge and then closed the door behind them.",4,3,0,0,0,0,,,,,0,26,26,26,,,,,,,,,,,,1,0.1692913500000941,',001,2019_Feb_20_1448,SECONDPART_body_behavioural,3.0.4,60.00804947982545,
0,"Luckily, they had forgotten to arrange seats next to each other on the flight back.",4,3,0,0,0,0,,,,,0,27,27,27,,,,,,,,,,,,9,0.0674244900001213,',001,2019_Feb_20_1448,SECONDPART_body_behavioural,3.0.4,60.00804947982545,
0,"They both had first-class tickets, but Jessie was headed for seat 1B while Calvin's seat was 4F. ",4,3,0,0,0,0,,,,,0,28,28,28,,,,,,,,,,,,1,0.136702255000273,',001,2019_Feb_20_1448,SECONDPART_body_behavioural,3.0.4,60.00804947982545,
0,"Before Jessie sat down, she took a deep breath and then awkwardly shook Calvin’s hand, mumbling, “Well, have a nice flight.” ",4,4,0,0,0,0,,,,,0,29,29,29,,,,,,,,,,,,9,0.0006206030002431362,',001,2019_Feb_20_1448,SECONDPART_body_behavioural,3.0.4,60.00804947982545,
0,He laughed in disbelief and walked to his window seat three rows back to get ready for takeoff.,4,4,0,0,0,0,,,,,0,30,30,30,,,,,,,,,,,,1,0.11951061999980084,',001,2019_Feb_20_1448,SECONDPART_body_behavioural,3.0.4,60.00804947982545,
0,Both were upset but glad that they would have this flight to mull things over and recenter. ,4,4,0,0,0,0,,,,,0,31,31,31,,,,,,,,,,,,9,0.0029325119999157323,',001,2019_Feb_20_1448,SECONDPART_body_behavioural,3.0.4,60.00804947982545,
0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,space,0.5865851549997387,,,',001,2019_Feb_20_1448,SECONDPART_body_behavioural,3.0.4,60.00804947982545,
