count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story_presses.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,,0,0,0,0,0,0,0,0,,,,,[23 21 14 34 32 41 43 12 33 22 42 44 11 24 13 31],"['Social' 'Location' 'Location' 'Social' 'Location' 'Social' 'Location'
 'Social' 'Location' 'Social' 'Location' 'Social' 'Location' 'Location'
 'Social' 'Social']",[33 22 42 44 11 24 13 31],"['Location' 'Social' 'Location' 'Social' 'Location' 'Location' 'Social'
 'Social']",space,0.4885056170005555,space,0.30292452199955733,space,0.5030855470004099,,,,,ALEX1,001,2019_Feb_20_1234,body_behavioural,3.0.4,60.01135174732327,
0,"Alex was a distracted, sweaty mess as he walked into the grocery store with Chloe; he was hoping that she wouldn't suspect that he was about to propose.",1,1,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,space,1.0028047420000803,1,0.6865097449999666,ALEX1,001,2019_Feb_20_1234,body_behavioural,3.0.4,60.01135174732327,
0,"The grocery store was brightly lit; this was one of the nicest grocery stores in Atlanta, and sunlight poured in through the glass walls.",1,1,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,9,0.020010315000035916,ALEX1,001,2019_Feb_20_1234,body_behavioural,3.0.4,60.01135174732327,
0,"The atmosphere was also bright because tomorrow was Thanksgiving, and most shoppers had carts piled high with turkey, stuffing, and pies.",1,1,,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,1,0.019629645000350138,ALEX1,001,2019_Feb_20_1234,body_behavioural,3.0.4,60.01135174732327,
0,Alex wanted to propose to Chloe here because he knew she would not suspect it at all. ,1,1,,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,1,0.10347543500029133,ALEX1,001,2019_Feb_20_1234,body_behavioural,3.0.4,60.01135174732327,
0,"Chloe loved surprises, and Alex loved the look on Chloe’s face when she was surprised. ",1,1,,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,9,0.12170989199967153,ALEX1,001,2019_Feb_20_1234,body_behavioural,3.0.4,60.01135174732327,
0,"“Alex, we need to get some cranberry sauce, so let’s go there first.” ",2,1,,,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,9,0.0864685249998729,ALEX1,001,2019_Feb_20_1234,body_behavioural,3.0.4,60.01135174732327,
0,She led the way to the section of the store that held the canned foods. ,2,1,,,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,9,0.10075259699988237,ALEX1,001,2019_Feb_20_1234,body_behavioural,3.0.4,60.01135174732327,
0,Alex looked like he was going to throw up. ,2,1,,,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,9,0.0694536370001515,ALEX1,001,2019_Feb_20_1234,body_behavioural,3.0.4,60.01135174732327,
0,"As they were walking there, Chloe asked him, “Is everything okay, dear?”",2,1,,,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,9,0.10339780799949949,ALEX1,001,2019_Feb_20_1234,body_behavioural,3.0.4,60.01135174732327,
