count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,[11 24 43 34 41 13 32 22 31 23 42 21 44 33 14 12],"['Location' 'Social' 'Location' 'Location' 'Social' 'Social' 'Social'
 'Location' 'Social' 'Social' 'Social' 'Location' 'Location' 'Location'
 'Social' 'Location']",[31 23 42 21 44 33 14 12],"['Social' 'Social' 'Social' 'Location' 'Location' 'Location' 'Social'
 'Location']",space,0.5887077879997378,space,1.0835274839992053,,,,,,001,2019_Feb_06_1546,body_behavioural,59.89066838589002,
0,"Thomas, dreading the conversation he was about to have, got to Annika’s Finer Diner early.",1.0,1.0,None,None,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,1,1.5496199230001366,,,,001,2019_Feb_06_1546,body_behavioural,59.89066838589002,
0,The restaurant had a kitschy charm and was reminiscent of a diner from the 70’s. ,1.0,1.0,None,None,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,1,0.6685055019988795,,,,001,2019_Feb_06_1546,body_behavioural,59.89066838589002,
0,A bell chimed as the door swung open and Sadie entered to find Thomas deep in thought on a bench by the door.,1.0,1.0,None,None,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,1,1.4509725690004416,,,,001,2019_Feb_06_1546,body_behavioural,59.89066838589002,
0,He jumped up and gave her a side hug. ,1.0,1.0,None,None,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,1,0.5687342880009965,,,,001,2019_Feb_06_1546,body_behavioural,59.89066838589002,
0,"“How was your day?”, he asked.",1.0,1.0,None,None,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,9,0.4178719749979791,,,,001,2019_Feb_06_1546,body_behavioural,59.89066838589002,
0,"She clung onto him, “It was okay.",1.0,1.0,None,None,,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,9,0.4334804880018055,,,,001,2019_Feb_06_1546,body_behavioural,59.89066838589002,
0,I missed you today.”,1.0,1.0,None,None,,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,9,0.3017715200003295,,,,001,2019_Feb_06_1546,body_behavioural,59.89066838589002,
0,He looked at the hostess coming towards them.,1.0,1.0,None,None,,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,1,0.3350978960006614,,,,001,2019_Feb_06_1546,body_behavioural,59.89066838589002,
0,"“Can we have a table in the back?”, Thomas asked.",1.0,1.0,None,None,,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,None,,,,,001,2019_Feb_06_1546,body_behavioural,59.89066838589002,
0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Feb_06_1546,body_behavioural,59.89066838589002,
,,,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,space,1.366942155000288,,001,2019_Feb_06_1546,body_behavioural,59.89066838589002,
