count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
0," Right when Liam came back with the pasta, the cashier started scanning their groceries.",4,3,,,,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.15318155999921146,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0,"The cost came to $30, and Emmanuella paid with her credit card.",4,3,,,,0,0,0,0,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.15618729699963296,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0,"She asked Liam politely to take the bags, and he obliged, following her to toward the exit. ",4,3,,,,0,0,0,0,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.1365910120002809,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0,"“Liam, I think we are making the right decision.",4,4,,,,0,0,0,0,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.15314189300079306,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0,This is good.” ,4,4,,,,0,0,0,0,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.003442041999733192,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0,"“I agree,” he said, visibly relieved at the thought that they had gotten through the last fight they would ever need to have.",4,4,,,,0,0,0,0,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.08611945700067736,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0,"“I think we can still host this dinner tonight, as long as you're still on board,” Emmanuella said.",4,4,,,,0,0,0,0,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.003161829999953625,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0,"Liam nodded, “Yes, let’s just not tell anyone yet.” ",4,4,,,,0,0,0,0,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.06979312200019194,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0,"Emmanuella laughed, “Whoever leaks it loses their rights to the cat.”",4,4,,,,0,0,0,0,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.003087959999902523,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0,"Liam rolled his eyes and managed a weak chuckle, knowing the cat would be a whole other issue to sort out later.
",4,4,,,,0,0,0,0,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.06947645200125407,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
