count,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,order,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
0,0,0,0,0,[24 41 14 31 23 42 13 32 21 44 11 34 22 43 12 33],space,0.9718161430209875,,001,2018_Dec_11_1218,body,60.119269777796475,
1,0,1,1,1,,space,1.101027891971171,,001,2018_Dec_11_1218,body,60.119269777796475,
2,0,2,2,2,,space,0.769504010968376,,001,2018_Dec_11_1218,body,60.119269777796475,
3,0,3,3,3,,space,0.4684980599558912,,001,2018_Dec_11_1218,body,60.119269777796475,
4,0,4,4,4,,space,0.35108887299429625,,001,2018_Dec_11_1218,body,60.119269777796475,
5,0,5,5,5,,space,0.4008047850220464,,001,2018_Dec_11_1218,body,60.119269777796475,
6,0,6,6,6,,space,0.3335988139733672,,001,2018_Dec_11_1218,body,60.119269777796475,
7,0,7,7,7,,space,0.3189844890148379,,001,2018_Dec_11_1218,body,60.119269777796475,
8,0,8,8,8,,space,0.3015703170094639,,001,2018_Dec_11_1218,body,60.119269777796475,
9,0,9,9,9,,space,0.23507376603083685,,001,2018_Dec_11_1218,body,60.119269777796475,
10,0,10,10,10,,space,0.25057176599511877,,001,2018_Dec_11_1218,body,60.119269777796475,
11,0,11,11,11,,space,0.20144326897570863,,001,2018_Dec_11_1218,body,60.119269777796475,
12,0,12,12,12,,space,0.20202142099151388,,001,2018_Dec_11_1218,body,60.119269777796475,
13,0,13,13,13,,space,0.18315441097365692,,001,2018_Dec_11_1218,body,60.119269777796475,
14,0,14,14,14,,space,0.1854010890237987,,001,2018_Dec_11_1218,body,60.119269777796475,
15,0,15,15,15,,space,0.28435234201606363,,001,2018_Dec_11_1218,body,60.119269777796475,
