count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[13 21 14 34 41 33 42 22 31 24 11 23 43 44 12 32],"['Social' 'Location' 'Location' 'Social' 'Social' 'Location' 'Location'
 'Social' 'Social' 'Location' 'Location' 'Social' 'Location' 'Social'
 'Social' 'Location']",[31 24 11 23 43 44 12 32],"['Social' 'Location' 'Location' 'Social' 'Location' 'Social' 'Social'
 'Location']",space,0.47125413200001276,space,0.5528760849999799,space,0.8200116619998425,,,,,,,,,,,',001,2019_Feb_20_1435,body_behavioural,3.0.4,59.84844028863254,
0,The grocery store was not the place Emmanuella and Liam wanted to be at the moment considering they had been fighting beforehand to the point where Emmanuella was thinking of breaking up with Liam.,1,1,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,space,0.6363509650000196,None,,,,,,,,',001,2019_Feb_20_1435,body_behavioural,3.0.4,59.84844028863254,
0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.569874475000006,,,,,,,,,',001,2019_Feb_20_1435,body_behavioural,3.0.4,59.84844028863254,
1,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,space,1.1337564330001442,None,,space,0.533897584999977,,,,,,,,,,,',001,2019_Feb_20_1435,body_behavioural,3.0.4,59.84844028863254,
1,"Alvira and Senna walked into the restaurant hand in sweaty hand with quite different expectations: Senna was going to propose tonight, and Alvira had no idea.",1,1,None,None,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,space,1.0034071649999987,None,,,,,,,,',001,2019_Feb_20_1435,body_behavioural,3.0.4,59.84844028863254,
1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4029896419999659,,,,,,,,,',001,2019_Feb_20_1435,body_behavioural,3.0.4,59.84844028863254,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.794369326000151,space,0.6699803630001497,,,,,',001,2019_Feb_20_1435,body_behavioural,3.0.4,59.84844028863254,
,,,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,0.4696295270000519,,,',001,2019_Feb_20_1435,body_behavioural,3.0.4,59.84844028863254,
,,,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,space,0.31992474499998025,,,',001,2019_Feb_20_1435,body_behavioural,3.0.4,59.84844028863254,
,,,,,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,space,0.300575149999986,,,',001,2019_Feb_20_1435,body_behavioural,3.0.4,59.84844028863254,
,,,,,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,space,0.25371836300018913,,,',001,2019_Feb_20_1435,body_behavioural,3.0.4,59.84844028863254,
,,,,,,There is a 5 minute time limit to make your response. ,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,space,0.30294223700002476,,,',001,2019_Feb_20_1435,body_behavioural,3.0.4,59.84844028863254,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.46968128499997874,,,,,,,
