count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,participant,session,date,expName,frameRate,
0,32,,,,,0,0,0,0,0,0,0,0,[32 11 42 23 34 21 44 13 12 14 33 31 43 24 22 41],"['Social' 'Social' 'Location' 'Social' 'Location' 'Location' 'Social'
 'Location' 'Social' 'Location' 'Location' 'Social' 'Social' 'Social'
 'Location' 'Location']",1,0.9512020859401673,',001,2019_Jan_16_1030,body_behavioural,59.97342925057214,
0,Airport Business Deal,,,,,0,0,0,0,0,1,1,1,,,9,0.30093274696264416,',001,2019_Jan_16_1030,body_behavioural,59.97342925057214,
0,,,,,,0,0,0,0,,,,,,,,,',001,2019_Jan_16_1030,body_behavioural,59.97342925057214,
1,"Thomas got to Annika’s Finer Diner early, dreading the conversation he was about to have.",1,1,None,None,0,1,1,1,0,0,0,0,,,1,2.903204825008288,',001,2019_Jan_16_1030,body_behavioural,59.97342925057214,
1,The restaurant had a kitschy charm and was reminiscent of a diner from the 70’s. ,1,1,None,None,0,1,1,1,0,1,1,1,,,1,0.40074541594367474,',001,2019_Jan_16_1030,body_behavioural,59.97342925057214,
1,"A bell chimed as the door swung open, and Sadie entered to find him deep in thought on a bench by the door.",1,1,None,None,0,1,1,1,0,2,2,2,,,9,0.3185784909874201,',001,2019_Jan_16_1030,body_behavioural,59.97342925057214,
1, Thomas jumped up and gave her a side hug. ,1,1,None,None,0,1,1,1,0,3,3,3,,,1,0.8016059650108218,',001,2019_Jan_16_1030,body_behavioural,59.97342925057214,
1,“How was your day?” he asked.,1,1,None,None,0,1,1,1,0,4,4,4,,,9,0.31764137896243483,',001,2019_Jan_16_1030,body_behavioural,59.97342925057214,
1,"She clung onto him, “It was okay. I missed you today.”",1,1,None,None,0,1,1,1,0,5,5,5,,,9,0.4854121720418334,',001,2019_Jan_16_1030,body_behavioural,59.97342925057214,
1,He looked at the hostess coming toward them.,1,1,None,None,0,1,1,1,0,6,6,6,,,9,0.36931207904126495,',001,2019_Jan_16_1030,body_behavioural,59.97342925057214,
1,“Can we have a table in the back?” Thomas asked.,1,1,None,None,0,1,1,1,0,7,7,7,,,1,0.23443937103729695,',001,2019_Jan_16_1030,body_behavioural,59.97342925057214,
1,"She shrugged and, as she loudly popped her bubblegum, replied, "Sure honey, this way."",1,1,9.0,None,0,1,1,1,0,8,8,8,,,9,0.1846459190128371,',001,2019_Jan_16_1030,body_behavioural,59.97342925057214,
1,"She led them to the back of the restaurant, where there were dimly lit tables. ",2,1,None,None,0,1,1,1,0,9,9,9,,,1,0.486393460072577,',001,2019_Jan_16_1030,body_behavioural,59.97342925057214,
1,“Is this alright?” the hostess asked.,2,1,None,None,0,1,1,1,0,10,10,10,,,9,0.051493703038431704,',001,2019_Jan_16_1030,body_behavioural,59.97342925057214,
