count,storyText,locationEvent,socialEvent,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,instructText,order of stories,order of perspectives,key_resp_5.keys,key_resp_5.rt,story_presses.keys,story_presses.rt,participant,session,date,expName,frameRate,
0,"James noticed Teresa immediately as she walked into the restaurant - or, more accurately as she attempted to walk into the restaurant. ",1,1,0,0,0,0,0,0,0,0,,,,,,[41 43 34 12 14 23 32 21 13 22 42 11 44 24 31 33],"['Social' 'Location' 'Location' 'Location' 'Social' 'Social' 'Social'
 'Location' 'Location' 'Social' 'Location' 'Social' 'Social' 'Location'
 'Location' 'Social']",space,0.5729866809997475,9,10.939005166001152,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0,"She was typing intently on her phone, and ran straight into the diner's clear glass door with an echoing thud. ",1,1,0,0,0,0,0,1,1,1,,,,,,,,,,1,2.252609373999803,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0,Everyone waiting around the cash register turned to see if she was okay.,1,1,0,0,0,0,0,2,2,2,,,,,,,,,,9,0.4002556409996032,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0,"Teresa rubbed her head, confused but unembarrassed, mostly just indignant that the door had been in her way. ",1,1,0,0,0,0,0,3,3,3,,,,,,,,,,1,0.26740961500036065,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0,"James found this quite charming and stole a couple glances of her, until she noticed and wrinkled her eyebrows at him in suspicion. ",1,1,0,0,0,0,0,4,4,4,,,,,,,,,,9,0.13265667999985453,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0,"The restaurant they were in was a cabin-themed diner, with wooden booths and bar and walls covered in plaid blankets and antler decorations. ",1,1,0,0,0,0,0,5,5,5,,,,,,,,,,1,0.13444046699987666,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0,"The waiter saw that James and Teresa were both alone, and motioned to both of them. ",1,1,0,0,0,0,0,6,6,6,,,,,,,,,,9,0.08905383199999051,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0,“Right this way. You two don't mind sitting at the counter?” ,2,1,0,0,0,0,0,7,7,7,,,,,,,,,,1,0.09113751299992146,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0,They sat a seat apart from each other on the split tree trunk that served as a bench.,2,1,0,0,0,0,0,8,8,8,,,,,,,,,,9,0.13508223900134908,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0, The waitress behind the counter gave them bright neon menus that were filled with breakfast items.,2,1,0,0,0,0,0,9,9,9,,,,,,,,,,1,0.06877256099869555,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0,"Teresa quickly glanced through it, then pulled out a book and started reading it, while James played with the salt and pepper shakers as he tried to think of an excuse to talk to Teresa.",2,1,0,0,0,0,0,10,10,10,,,,,,,,,,9,0.10001121599998442,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0," He eventually turned to her, and asked, “Your forehead alright?”",2,2,0,0,0,0,0,11,11,11,,,,,,,,,,1,0.1014581260005798,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0,She put down her book and gave him a smirk.,2,2,0,0,0,0,0,12,12,12,,,,,,,,,,9,0.4350562029994762,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0,"“Have you ever been stung by a scorpion?” she asked him, tilting her head.",2,2,0,0,0,0,0,13,13,13,,,,,,,,,,9,0.5347636829992553,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0,“What?” ,2,2,0,0,0,0,0,14,14,14,,,,,,,,,,1,0.08438403300169739,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0, “A scorpion.”,2,2,0,0,0,0,0,15,15,15,,,,,,,,,,9,0.08409054100047797,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0, He began to worry that maybe she had suffered a concussion in the door crash.,2,2,0,0,0,0,0,16,16,16,,,,,,,,,,1,0.10160135099977197,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0,"“Uh no, why?” ",2,2,0,0,0,0,0,17,17,17,,,,,,,,,,9,0.05203378800069913,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0," “Because I have been, and since then, things like bumping into doors seem like pretty small potatoes.” ",2,2,0,0,0,0,0,18,18,18,,,,,,,,,,1,0.31828942300126073,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0,"They carried on talking, and Teresa told him all about her encounter with a Deathstalker scorpion while she was studying abroad in Egypt.",2,2,0,0,0,0,0,19,19,19,,,,,,,,,,9,0.0006125599993538344,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0,"After a few minutes, the waitress behind the counter came up to them, “Alrighty, can I take you order?” ",3,3,0,0,0,0,0,20,20,20,,,,,,,,,,1,0.13408752299983462,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0,"She first asked Teresa who answered, “I’ll have a Western Omelette and a glass of milk.”",3,3,0,0,0,0,0,21,21,21,,,,,,,,,,1,0.4252939610014437,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0,"Then the waitress turned to James, “I’ll have the chocolate chip pancakes and a coffee.” ",3,3,0,0,0,0,0,22,22,22,,,,,,,,,,1,1.251497040000686,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0,"“Alrighty, comin’ right up!”",3,3,0,0,0,0,0,23,23,23,,,,,,,,,,1,0.25112073099990084,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0,"They picked up their conversation, and James ended up telling Teresa about a concert he was going to later. ",3,3,0,0,0,0,0,24,24,24,,,,,,,,,,9,7.524899103998905,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0," He invited her to come along, promising her that the concert would be indoors and absolutely free of venomous insects.",3,3,0,0,0,0,0,25,25,25,,,,,,,,,,1,1.0695762230006949,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0,"Teresa gave him her number, and they worked out that James would pick her up before the concert, and drive them there.",3,3,0,0,0,0,0,26,26,26,,,,,,,,,,1,0.15150316200015368,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0,"This was not what they had expected from their solitary lunch plans and were both excited, though Teresa was doing a much better job of hiding it than James. ",3,3,0,0,0,0,0,27,27,27,,,,,,,,,,1,0.11763587199857284,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0," After awhile,  the waitress brought out their food, and James took this opportunity to scoot closer to her on the log bench. ",4,4,0,0,0,0,0,28,28,28,,,,,,,,,,1,3.5190094110002974,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0," She was happy to share the meal with him, despite their food tasting pretty bad. ",4,4,0,0,0,0,0,29,29,29,,,,,,,,,,1,0.17360681200079853,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0,"Judging by how salty the pancakes tasted, they suspected that the chef confused the salt and sugar.",4,4,0,0,0,0,0,30,30,30,,,,,,,,,,1,0.9875275320009678,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0,"When the meal was over, they got up, and hugged, parting ways. ",4,4,0,0,0,0,0,31,31,31,,,,,,,,,,1,0.4675746420016367,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0,"“I have to run, got to get to work.",4,4,0,0,0,0,0,32,32,32,,,,,,,,,,1,0.3022705590010446,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0, See you tonight!” James said.,4,4,0,0,0,0,0,33,33,33,,,,,,,,,,1,0.7022186700014572,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0,"Teresa smiled and walked towards the door without looking, and almost ran into the door again. ",4,4,0,0,0,0,0,34,34,34,,,,,,,,,,1,0.27197128599982534,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0,They both laughed and smiled once more goodbye. ,4,4,0,0,0,0,0,35,35,35,,,,,,,,,,1,0.45220503200107487,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
0,,,,0,0,0,0,,,,,,,,,,,,,,,,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
1,"Simon and Carina noticed each other as they walked into the grocery store at the same time, their carts nearly colliding as they squeezed into the entrance.",1,1,0,1,1,1,0,0,0,0,,,,,,,,space,132.96041494900055,None,,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
1,,,,0,1,1,1,,,,,,,,,,,,,,,,,001,2019_Jan_30_1454,body_behavioural,60.02114184701687,
