count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,recall,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,frameRate,
0,"You need to empty your pockets,” the security guard said.",2,2,,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.15297158599969407,,,,,,,,,,,,,,,,,,,umbrella,001,2019_Feb_11_1048,body_behavioural,60.12566853944312,
0,"With a sinking feeling Sven realized the mistake he had made forgetting to put the ring back in his bag, as Isabel and the guard both looked at him expectantly.",2,2,,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.08579459900101938,,,,,,,,,,,,,,,,,,,umbrella,001,2019_Feb_11_1048,body_behavioural,60.12566853944312,
0,"Sven,  deciding he would make the best of the situation, grabbed Isabel's hand as he reached into his pocket.",2,2,,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.10195460800059664,,,,,,,,,,,,,,,,,,,umbrella,001,2019_Feb_11_1048,body_behavioural,60.12566853944312,
0,"He got down on one knee and, giggling slightly at her confused look, said, “Isabel, this isn't quite how I'd planned this, but - will you marry me?”",2,3,,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.13450310600092052,,,,,,,,,,,,,,,,,,,umbrella,001,2019_Feb_11_1048,body_behavioural,60.12566853944312,
0,The security guard gasped.,2,3,,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.16756429000088247,,,,,,,,,,,,,,,,,,,umbrella,001,2019_Feb_11_1048,body_behavioural,60.12566853944312,
0,All the people who were putting their shoes back on and gathering their belongings stopped what they were doing and walked closer to the couple.,2,3,,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.06650993200128141,,,,,,,,,,,,,,,,,,,umbrella,001,2019_Feb_11_1048,body_behavioural,60.12566853944312,
0,"Isabel was astonished, and far too shy to respond in front of the backup of passengers waiting behind them.",2,3,,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.08464682299927517,,,,,,,,,,,,,,,,,,,umbrella,001,2019_Feb_11_1048,body_behavioural,60.12566853944312,
0,"She attempted to stammer a response as she frantically grabbed her and Sven’s shoes, leaving Sven to retrieve their bags.",2,3,,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.11842761399930168,,,,,,,,,,,,,,,,,,,umbrella,001,2019_Feb_11_1048,body_behavioural,60.12566853944312,
0,"Both of them slipping in their socked feet, she fled onto the concourse with Sven trying to catch up behind her.",3,3,,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.18312341999990167,,,,,,,,,,,,,,,,,,,umbrella,001,2019_Feb_11_1048,body_behavioural,60.12566853944312,
0,"Everyone in the terminal was looking at them with confusion as Sven, holding the bags in one hand and the open ring box in the other, finally caught up to her.",3,3,,0,0,0,0,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.1509876809996058,,,,,,,,,,,,,,,,,,,umbrella,001,2019_Feb_11_1048,body_behavioural,60.12566853944312,
