8.9509 	EXP 	text: autoDraw = True
9.1032 	DATA 	Keypress: space
9.1039 	EXP 	New trial (rep=0, index=7): OrderedDict([('count', 7)])
9.1345 	EXP 	text: autoDraw = False
9.1345 	EXP 	text_4: text = 'Matchmaker'
9.1345 	EXP 	image: image = 'leonardo.jpg'
9.1345 	EXP 	text_4: autoDraw = True
9.1345 	EXP 	image: autoDraw = True
9.2533 	DATA 	Keypress: space
9.2682 	EXP 	text_4: autoDraw = False
9.2682 	EXP 	image: autoDraw = False
9.2682 	EXP 	text: text = 'Restaurant Meet Cute'
9.2682 	EXP 	text: autoDraw = True
9.4031 	DATA 	Keypress: space
9.4039 	EXP 	New trial (rep=0, index=8): OrderedDict([('count', 8)])
9.4354 	EXP 	text: autoDraw = False
9.4354 	EXP 	text_4: text = 'Couples Therapist'
9.4354 	EXP 	image: image = 'leonardo.jpg'
9.4354 	EXP 	text_4: autoDraw = True
9.4354 	EXP 	image: autoDraw = True
9.7703 	DATA 	Keypress: space
9.7845 	EXP 	text_4: autoDraw = False
9.7845 	EXP 	image: autoDraw = False
9.7845 	EXP 	text: text = 'Restaurant Breakup'
9.7845 	EXP 	text: autoDraw = True
10.1202 	DATA 	Keypress: space
10.1210 	EXP 	New trial (rep=0, index=9): OrderedDict([('count', 9)])
10.2513 	EXP 	text: autoDraw = False
10.2513 	EXP 	text_4: text = 'Dean of Academic Studies'
10.2513 	EXP 	image: image = 'cloisters.jpg'
10.2513 	EXP 	text_4: autoDraw = True
10.2513 	EXP 	image: autoDraw = True
10.2876 	DATA 	Keypress: space
10.3189 	EXP 	text_4: autoDraw = False
10.3189 	EXP 	image: autoDraw = False
10.3189 	EXP 	text: text = 'Attending a Lecture-Meet Cute'
10.3189 	EXP 	text: autoDraw = True
10.4363 	DATA 	Keypress: space
10.4370 	EXP 	New trial (rep=0, index=10): OrderedDict([('count', 10)])
10.5692 	EXP 	text: autoDraw = False
10.5692 	EXP 	text_4: text = 'Airport Customer Experience Manager'
10.5692 	EXP 	image: image = 'cloisters.jpg'
10.5692 	EXP 	text_4: autoDraw = True
10.5692 	EXP 	image: autoDraw = True
10.6203 	DATA 	Keypress: space
10.6355 	EXP 	text_4: autoDraw = False
10.6355 	EXP 	image: autoDraw = False
10.6355 	EXP 	text: text = 'Airport Proposal'
10.6355 	EXP 	text: autoDraw = True
10.7867 	DATA 	Keypress: space
10.7874 	EXP 	New trial (rep=0, index=11): OrderedDict([('count', 11)])
10.9178 	EXP 	text: autoDraw = False
10.9178 	EXP 	text_4: text = 'Restaurant Critic'
10.9178 	EXP 	image: image = 'cloisters.jpg'
10.9178 	EXP 	text_4: autoDraw = True
10.9178 	EXP 	image: autoDraw = True
10.9703 	DATA 	Keypress: space
10.9854 	EXP 	text_4: autoDraw = False
10.9854 	EXP 	image: autoDraw = False
10.9854 	EXP 	text: text = 'Restaurant Business Deal'
10.9854 	EXP 	text: autoDraw = True
11.1531 	DATA 	Keypress: space
11.1539 	EXP 	New trial (rep=0, index=12): OrderedDict([('count', 12)])
11.1849 	EXP 	text: autoDraw = False
11.1849 	EXP 	text_4: text = 'Business Reporter'
11.1849 	EXP 	image: image = 'leonardo.jpg'
11.1849 	EXP 	text_4: autoDraw = True
11.1849 	EXP 	image: autoDraw = True
11.3204 	DATA 	Keypress: space
11.3359 	EXP 	text_4: autoDraw = False
11.3359 	EXP 	image: autoDraw = False
11.3359 	EXP 	text: text = 'Grocery Shopping- Business Deal'
11.3359 	EXP 	text: autoDraw = True
11.5030 	DATA 	Keypress: space
11.5037 	EXP 	New trial (rep=0, index=13): OrderedDict([('count', 13)])
11.6348 	EXP 	text: autoDraw = False
11.6348 	EXP 	text_4: text = 'Grocery Store Customer Experience Manager'
11.6348 	EXP 	image: image = 'cloisters.jpg'
11.6348 	EXP 	text_4: autoDraw = True
11.6348 	EXP 	image: autoDraw = True
11.6869 	DATA 	Keypress: space
11.7023 	EXP 	text_4: autoDraw = False
11.7023 	EXP 	image: autoDraw = False
11.7023 	EXP 	text: text = 'Grocery Shopping- Break up'
11.7023 	EXP 	text: autoDraw = True
11.8538 	DATA 	Keypress: space
11.8545 	EXP 	New trial (rep=0, index=14): OrderedDict([('count', 14)])
11.8854 	EXP 	text: autoDraw = False
11.8854 	EXP 	text_4: text = 'Matchmaker'
11.8854 	EXP 	image: image = 'leonardo.jpg'
11.8854 	EXP 	text_4: autoDraw = True
11.8854 	EXP 	image: autoDraw = True
12.0202 	DATA 	Keypress: space
12.0350 	EXP 	text_4: autoDraw = False
12.0350 	EXP 	image: autoDraw = False
12.0350 	EXP 	text: text = 'Airport Meet Cute'
12.0350 	EXP 	text: autoDraw = True
12.2032 	DATA 	Keypress: space
12.2039 	EXP 	New trial (rep=0, index=15): OrderedDict([('count', 15)])
12.2352 	EXP 	text: autoDraw = False
12.2352 	EXP 	text_4: text = 'Wedding Planner'
12.2352 	EXP 	image: image = 'leonardo.jpg'
12.2352 	EXP 	text_4: autoDraw = True
12.2352 	EXP 	image: autoDraw = True
12.3703 	DATA 	Keypress: space
12.3856 	EXP 	text_4: autoDraw = False
12.3856 	EXP 	image: autoDraw = False
12.3856 	EXP 	text: text = 'Attending a Lecture-Proposal'
12.3856 	EXP 	text: autoDraw = True
12.5532 	DATA 	Keypress: space
12.8267 	EXP 	window1: mouseVisible = True
