count,storyText,locationEvent,socialEvent,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,instructText,order of stories,order of perspectives,key_resp_5.keys,key_resp_5.rt,story_presses.keys,story_presses.rt,participant,session,date,expName,frameRate,
0,"They both had first-class tickets, but Jessie was headed for seat 1B while Calvin's ticket was for 4F. ",4,3,0,0,0,0,0,27,27,27,,,,,,,,,,9,0.06774402502924204,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
0,"Before Jessie sat down, she took a deep breath and then awkwardly shook Calvin’s hand, mumbling, “Well, have a nice flight.” ",4,4,0,0,0,0,0,28,28,28,,,,,,,,,,1,0.08654106198810041,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
0,He laughed in disbelief and walked to his window seat three rows back to get ready for takeoff.,4,4,0,0,0,0,0,29,29,29,,,,,,,,,,9,0.06752653198782355,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
0,"Both were at least relieved that the vacation and the fights were over, and they were looking forward to never having to struggle through another conversation together again.
",4,4,0,0,0,0,0,30,30,30,,,,,,,,,,1,0.035588892060332,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
0,,,,0,0,0,0,,,,,,,,,,,,,,,,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
1,"The grocery store was not the place Emmanuella and Liam wanted to be as they had been fighting beforehand, to the point where Emmanuella was thinking of breaking up with Liam.",1,1,0,1,1,1,0,0,0,0,,,,,,,,space,0.685283305007033,1,0.4343259909655899,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
1,"But they had to be there, seeing as they were hosting a dinner party for friends that evening and had no groceries. ",1,1,0,1,1,1,0,1,1,1,,,,,,,,,,9,0.037451664917171,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
1,"The grocery store was dimly lit, and had dark wood paneling for the shelves.",1,1,0,1,1,1,0,2,2,2,,,,,,,,,,1,0.0837124630343169,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
1,"The store specialized in organic produce and products catering to desires for high end products, such as imported cheeses and sauces. ",1,1,0,1,1,1,0,3,3,3,,,,,,,,,,9,0.020560302073135972,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
1,"Emmanuella felt angry as she headed immediately for the pasta section, and Liam trailed behind her. ",2,1,0,1,1,1,0,4,4,4,,,,,,,,,,1,0.05194209807086736,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
1,Emmanuella selected a few pasta boxes of linguine.,2,1,0,1,1,1,0,5,5,5,,,,,,,,,,9,0.052292911102995276,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
1,"“I guess we are having pasta tonight,” Liam said.",2,1,0,1,1,1,0,6,6,6,,,,,,,,,,1,0.0682517250534147,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
1,"Emmanuella looked back at him and said, “Well if you were going to actually help cook, I would be fine with something else.”",2,1,0,1,1,1,0,7,7,7,,,,,,,,,,9,0.02203542203642428,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
1,"Liam sighed, “You don’t want me to help",2,1,0,1,1,1,0,8,8,8,,,,,,,,,,1,0.06902625993825495,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
1," I try to, but it seems like I always get in the way!” ",2,1,0,1,1,1,0,9,9,9,,,,,,,,,,9,0.07102048397064209,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
1,"Emmanuella angrily threw the pasta into the cart, losing her temper.",2,1,0,1,1,1,0,10,10,10,,,,,,,,,,9,1.302192974020727,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
1," “Liam, I don’t think I can do this anymore. ",2,2,0,1,1,1,0,11,11,11,,,,,,,,,,1,0.0850407350808382,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
1," I was going to wait until after this dinner party tonight to talk about this, but I don’t want to be in a relationship with you anymore.",2,2,0,1,1,1,0,12,12,12,,,,,,,,,,9,0.03464366099797189,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
1," I’m tired of the constant fighting, and I feel like when we try to do anything fun it ends up unpleasant for stupidest reasons, and I am just past  trying to work things out.”",2,2,0,1,1,1,0,13,13,13,,,,,,,,,,1,0.035150270094163716,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
1,"Liam refused to look at her as she picked out sauces for the pasta, and then threw up her hands, saying, “You know what, if this party is still happening we are going to just eat pasta.”",2,2,0,1,1,1,0,14,14,14,,,,,,,,,,9,0.0022434619022533298,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
1,"They headed to the checkout area, where there were only two stations open but they were not crowded at all.",3,2,0,1,1,1,0,15,15,15,,,,,,,,,,1,0.05138438299763948,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
1," Emmanuella sighed and got in line, while Liam pretended to be interested in the magazine racks in order to avoid her gaze. ",3,2,0,1,1,1,0,16,16,16,,,,,,,,,,9,0.00038179103285074234,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
1," Finally he turned to her and sighed, “Yes, I was thinking the same thing - I think we could definitely be happier with other people.” ",3,3,0,1,1,1,0,17,17,17,,,,,,,,,,1,0.052338963956572115,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
1,"As if she hadn't heard him, Emmanuella looked at their cart and said, “I'm not sure this will be enough, could you grab another box of pasta?”",3,3,0,1,1,1,0,18,18,18,,,,,,,,,,9,0.11858184903394431,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
1," Liam scoffed, and walked off to quickly get it.",3,3,0,1,1,1,0,19,19,19,,,,,,,,,,9,0.14154045097529888,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
1,"As Emmanuella waited in line, she took a moment to compose herself, deciding that there was no reason to continue making a scene in the store. ",3,3,0,1,1,1,0,20,20,20,,,,,,,,,,1,0.1524332039989531,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
1," Right when Liam came back with the pasta, the cashier started scanning their groceries.",4,3,0,1,1,1,0,21,21,21,,,,,,,,,,9,0.252484358032234,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
1,"The cost came to $30, and Emmanuella paid with her credit card.",4,3,0,1,1,1,0,22,22,22,,,,,,,,,,1,0.1726804180070758,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
1,"She asked Liam politely to take the bags, and he obliged and followed her to toward the exit. ",4,3,0,1,1,1,0,23,23,23,,,,,,,,,,9,0.16804857703391463,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
1,"“Liam, I think we are making the right decision.",4,4,0,1,1,1,0,24,24,24,,,,,,,,,,1,0.11689438100438565,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
1,This is good.” ,4,4,0,1,1,1,0,25,25,25,,,,,,,,,,9,0.13557027594652027,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
1,"“I agree,” he said, visibly relieved at the thought that they had gotten through the last fight they would ever need to have.",4,4,0,1,1,1,0,26,26,26,,,,,,,,,,1,0.03525365702807903,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
1,"“I think we can still host this dinner tonight, as long as you're still on board,” Emmanuella said.",4,4,0,1,1,1,0,27,27,27,,,,,,,,,,9,0.13489454193040729,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
1,"Liam nodded, “Yes, let’s just not tell anyone yet.” ",4,4,0,1,1,1,0,28,28,28,,,,,,,,,,1,0.10172358492854983,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
1,"Emmanuella laughed, “If one of it leaks it, they lose their rights to the cat.” Liam rolled his eyes, but managed a weak chuckle.
",4,4,0,1,1,1,0,29,29,29,,,,,,,,,,1,0.135345243033953,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
1,,,,0,1,1,1,,,,,,,,,,,,,,,,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
2,"James noticed Teresa immediately as she walked into the restaurant - or, more accurately as she attempted to walk into the restaurant. ",1,1,0,2,2,2,0,0,0,0,,,,,,,,space,0.8354480880079791,None,,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
2,,,,0,2,2,2,,,,,,,,,,,,,,,,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
3,"Charlie saw Alma as they walked into class, and motioned for her to come sit in the back next to him, since they had business to discuss.",1,1,0,3,3,3,0,0,0,0,,,,,,,,None,,None,,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
3,,,,0,3,3,3,,,,,,,,,,,,,,,,',001,2019_Jan_22_1412,body_behavioural,60.254925576221346,
