count,storyText,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,participant,session,date,expName,frameRate,
0,44,,0,0,0,0,0,0,0,0,,,,,,,,,[44 23 22 31 34 13 41 12 11 14 42 32 43 33 21 24],"['Location' 'Social' 'Location' 'Location' 'Social' 'Location' 'Social'
 'Social' 'Social' 'Location' 'Social' 'Location' 'Location' 'Social'
 'Location' 'Social']",1,1.6196471099974588,,,,888,001,2019_Jan_10_1358,body_behavioural,59.980933515081084,
0,Attending a Lecture Meet Cute,,0,0,0,0,0,1,1,1,,,,,,,,,,,9,0.8344580509001389,,,,888,001,2019_Jan_10_1358,body_behavioural,59.980933515081084,
0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,888,001,2019_Jan_10_1358,body_behavioural,59.980933515081084,
1,23,,0,1,1,1,0,0,0,0,,,,,,,,,,,1,0.33511736802756786,,,,888,001,2019_Jan_10_1358,body_behavioural,59.980933515081084,
1,Grocery shopping Proposal,,0,1,1,1,0,1,1,1,,,,,,,,,,,9,0.7854555679950863,,,,888,001,2019_Jan_10_1358,body_behavioural,59.980933515081084,
1,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,888,001,2019_Jan_10_1358,body_behavioural,59.980933515081084,
,,The next part of the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,,space,0.6852676919661462,,888,001,2019_Jan_10_1358,body_behavioural,59.980933515081084,
,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,,space,0.18416068400256336,,888,001,2019_Jan_10_1358,body_behavioural,59.980933515081084,
,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,,space,0.21804693003650755,,888,001,2019_Jan_10_1358,body_behavioural,59.980933515081084,
,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,,space,0.6506633369717747,,888,001,2019_Jan_10_1358,body_behavioural,59.980933515081084,
,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,,space,0.4010064749745652,,888,001,2019_Jan_10_1358,body_behavioural,59.980933515081084,
0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,Hello,888,001,2019_Jan_10_1358,body_behavioural,59.980933515081084,
1,,,,,,,,,,,,,,,0,1,1,1,,,,,,,My,888,001,2019_Jan_10_1358,body_behavioural,59.980933515081084,
2,,,,,,,,,,,,,,,0,2,2,2,,,,,,,Name,888,001,2019_Jan_10_1358,body_behavioural,59.980933515081084,
3,,,,,,,,,,,,,,,0,3,3,3,,,,,,,Is ,888,001,2019_Jan_10_1358,body_behavioural,59.980933515081084,
4,,,,,,,,,,,,,,,0,4,4,4,,,,,,,Alex,888,001,2019_Jan_10_1358,body_behavioural,59.980933515081084,
