count,storyText,locationEvent,socialEvent,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,instructText,order of stories,order of perspectives,key_resp_5.keys,key_resp_5.rt,story_presses.keys,story_presses.rt,participant,session,date,expName,frameRate,
0,"Sven and Isabel walked hurriedly from the cab into the Barcelona Airport after an incredible weekend with Isabel’s family, which had wiped away any doubts Sven had had about his decision to propose. ",,,0,0,0,0,0,0,0,0,,,,,,[22 43 34 21 11 44 12 33 42 24 31 32 13 23 41 14],"['Location' 'Social' 'Social' 'Social' 'Location' 'Location' 'Social'
 'Location' 'Social' 'Social' 'Social' 'Location' 'Social' 'Location'
 'Location' 'Location']",space,0.7522282329155132,9,41.06719859293662,,001,2019_Jan_22_1403,body_behavioural,59.867605636135146,
0,"They were a little pressed for time, with only a little over an hour until their flight would take off to go back to the US, but they already had their online boarding passes and no checked luggage. ",,,0,0,0,0,0,1,1,1,,,,,,,,,,None,,,001,2019_Jan_22_1403,body_behavioural,59.867605636135146,
0,,,,0,0,0,0,,,,,,,,,,,,,,,,,001,2019_Jan_22_1403,body_behavioural,59.867605636135146,
1,"Simon and Carina noticed each other as they walked into the grocery store at the same time, their carts nearly colliding as they squeezed into the entrance.",1,1,0,1,1,1,0,0,0,0,,,,,,,,None,,None,,,001,2019_Jan_22_1403,body_behavioural,59.867605636135146,
1,,,,0,1,1,1,,,,,,,,,,,,,,,,,001,2019_Jan_22_1403,body_behavioural,59.867605636135146,
