count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,psychopyVersion,frameRate,
0,David helped her up and had to keep holding on to her arms to steady her even once they were standing.,1,2,,,,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,1,2.0869808429997647,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
0,"“I’m really late for my flight,” she said. ",1,2,,,,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,1,2.0865416429951438,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
0,"“Don't worry,” said David, "let me help you get to your gate." ",1,2,,,,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,1,4.937088004997349,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
0,He waved off her half-hearted protests. ,1,2,,,,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,1,2.853121402004035,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
0,"“Really , I have plenty of time and nothing better to do.”",1,2,,,,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,1,1.61983792999672,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
0,They headed to the security line. ,2,2,,,,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,1,6.570080614998005,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
0,"The line was not long, and they spent the time chatting and getting to know each other.",2,2,,,,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,1,4.369832770003995,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
0,It turned out that Anna and David went to the same high school but Anna had been 3 years older.,2,2,,,,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,1,5.651061154996569,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
0,When they got to the front of the line they took off their shoes and pulled off their coats.,2,3,,,,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,1,6.736865613005648,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
0,Both of them went through the metal detector without any problems. ,2,3,,,,0,0,0,0,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,1,1.9019929540008889,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
0,"Anna’s flight was in 20 minutes, and as she was rushing to put her shoes and coat back on, David asked her, “So when are you coming back?”",2,3,,,,0,0,0,0,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,1,8.43760420000035,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
0,"“In a week, it’s a short trip,” Anna replied. ",2,3,,,,0,0,0,0,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,1,1.1529479649980203,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
0,"“Me too,” David said.",2,3,,,,0,0,0,0,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,1,1.5197673500006204,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
0,"He continued, “When we're back in town, is there any chance you'd want to get dinner?",2,3,,,,0,0,0,0,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,1,3.1178086180007085,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
0,"I know we just met, but when life throws a luggage cart at you it seems like we should listen. “",2,3,,,,0,0,0,0,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,1,2.936366559995804,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
0,"She stopped packing, and said with a smile, “Yes I would love that.”",2,3,,,,0,0,0,0,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,1,1.2194705649962998,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
0,Then they ran off to Anna’s gate which was at the end of the terminal. ,3,3,,,,0,0,0,0,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,1,2.0531492899972363,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
0,"David took put on her backpack, grabbed her hand, and navigated quickly through the crowds of people.",3,3,,,,0,0,0,0,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,9,5.68665515199973,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
0,Anna was amazed at everything that was happening; she had arrived at the airport doubtful that she would make it and was now confident that she would due to this handsome and kind man she just met.,3,3,,,,0,0,0,0,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,,,,,1,4.886509937001392,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
0,"As they approached her gate, Anna fished out a crumbled business card from her pocket and handed it to David, who handed her the backpack, and he promised to call her next week.",3,4,,,,0,0,0,0,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,,1,5.53477291699528,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
0,She gave him one last embarrassed smile and approached the flight attendant who scanned her ticket. ,3,4,,,,0,0,0,0,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,,,,,1,2.602738187997602,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
