count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,So I propose that you send us $600 worth of wine shipments for a price of $300.”,2,2,,,,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.13405950198648497,,,,,,,,,,,,,,,,',001,2019_Mar_11_1254,body_behavioural,3.0.4,59.95030383467571,
0,"When it was their turn to go through the metal detector, they took off their shoes and pulled out their laptops.",2,2,,,,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.08640216299681924,,,,,,,,,,,,,,,,',001,2019_Mar_11_1254,body_behavioural,3.0.4,59.95030383467571,
0,"Jeff mulled over the offer, nodding noncommittally to William's pitch as they proceeded through the metal detector and retrieved their belongings.",2,2,,,,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.08628280297853053,,,,,,,,,,,,,,,,',001,2019_Mar_11_1254,body_behavioural,3.0.4,59.95030383467571,
0,"They began to walk through the concourse, and William handed some printed spreadsheets to Jeff as they navigated toward their gates at the end of the terminal.",3,2,,,,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.08653576497454196,,,,,,,,,,,,,,,,',001,2019_Mar_11_1254,body_behavioural,3.0.4,59.95030383467571,
0,"Jeff, weaving through the crowds of travelers, squinted at William's rosy projections of the number of bottles he could be able to purchase in the future.",3,2,,,,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.06970254698535427,,,,,,,,,,,,,,,,',001,2019_Mar_11_1254,body_behavioural,3.0.4,59.95030383467571,
0,"Finally Jeff said, “I don’t know, we’re not coming from corporate vineyards, so gambling with sample shipments is the kind of risk we can’t necessarily make. ",3,3,,,,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.05304677700041793,,,,,,,,,,,,,,,,',001,2019_Mar_11_1254,body_behavioural,3.0.4,59.95030383467571,
0,"These corporate purchases would have to be huge and practically guaranteed, to offset the loss from selling sample shipments at this price.”",3,3,,,,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,',001,2019_Mar_11_1254,body_behavioural,3.0.4,59.95030383467571,
0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Mar_11_1254,body_behavioural,3.0.4,59.95030383467571,
1,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,2.6532593670126516,space,0.5362892700068187,space,0.6695125300029758,,,,,,,,,,,,,,,,,,',001,2019_Mar_11_1254,body_behavioural,3.0.4,59.95030383467571,
1,"Alvira and Senna walked into the restaurant hand in sweaty hand with quite different expectations: Senna was going to propose tonight, and Alvira had no idea.",1,1,None,None,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,',001,2019_Mar_11_1254,body_behavioural,3.0.4,59.95030383467571,
1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Mar_11_1254,body_behavioural,3.0.4,59.95030383467571,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.4162868550047,space,1.6015121630043723,,,,,,,,,,,,,',001,2019_Mar_11_1254,body_behavioural,3.0.4,59.95030383467571,
,,,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7347338020044845,,,,,,,,,,,',001,2019_Mar_11_1254,body_behavioural,3.0.4,59.95030383467571,
,,,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6529833750100806,,,,,,,,,,,',001,2019_Mar_11_1254,body_behavioural,3.0.4,59.95030383467571,
,,,,,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.48623076698277146,,,,,,,,,,,',001,2019_Mar_11_1254,body_behavioural,3.0.4,59.95030383467571,
,,,,,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.45327724498929456,,,,,,,,,,,',001,2019_Mar_11_1254,body_behavioural,3.0.4,59.95030383467571,
,,,,,,There is a 5 minute time limit to make your response. ,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4196166479960084,,,,,,,,,,,',001,2019_Mar_11_1254,body_behavioural,3.0.4,59.95030383467571,
0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6171951899887063,Sjdhwksjhdjh hdsjhdj,,,,,,,,',001,2019_Mar_11_1254,body_behavioural,3.0.4,59.95030383467571,
1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.6029931100201793,,,,,,,,,',001,2019_Mar_11_1254,body_behavioural,3.0.4,59.95030383467571,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611.8721692789986,space,1.7029331700177863,,,,,',001,2019_Mar_11_1254,body_behavioural,3.0.4,59.95030383467571,
,,,,,,The next part of the task is to answer 8 questions about each story.,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4340500720136333,,,',001,2019_Mar_11_1254,body_behavioural,3.0.4,59.95030383467571,
,,,,,,Some of the questions are not related to the perspective you were asked to assume.,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3533725370070897,,,',001,2019_Mar_11_1254,body_behavioural,3.0.4,59.95030383467571,
,,,,,,"We realize that we did not tell you to think of these questions during the story, but do your best to answer them.",,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3196686370065436,,,',001,2019_Mar_11_1254,body_behavioural,3.0.4,59.95030383467571,
,,,,,,"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.35295243200380355,,,',001,2019_Mar_11_1254,body_behavioural,3.0.4,59.95030383467571,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.38623317499877885,,,,,,,
