count,storyText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
0,21,0,0,0,0,0,0,0,0,[21 31 43 44 14 32 22 13 33 34 11 41 12 23 42 24],"['Social' 'Location' 'Social' 'Location' 'Social' 'Social' 'Location'
 'Location' 'Social' 'Location' 'Social' 'Location' 'Location' 'Location'
 'Social' 'Social']",space,2.3032747129909694,space,0.6848352680681273,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
0,Restaurant Proposal,0,0,0,0,0,1,1,1,,,,,space,0.8354441249975935,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
0,,0,0,0,0,,,,,,,,,,,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
1,31,0,1,1,1,0,0,0,0,,,space,3.3702097749337554,space,2.5013293240917847,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
1,Restaurant Business Deal,0,1,1,1,0,1,1,1,,,,,space,0.8851750890025869,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
1,,0,1,1,1,,,,,,,,,,,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
2,43,0,2,2,2,0,0,0,0,,,space,0.8690319440793246,space,0.7352412790060043,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
2,Grocery Shopping Meet Cute,0,2,2,2,0,1,1,1,,,,,space,0.8015756069216877,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
2,,0,2,2,2,,,,,,,,,,,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
3,44,0,3,3,3,0,0,0,0,,,space,1.2912171309581026,space,0.6689973400207236,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
3,Attending a Lecture Meet Cute,0,3,3,3,0,1,1,1,,,,,space,0.7021549210185185,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
3,,0,3,3,3,,,,,,,,,,,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
4,14,0,4,4,4,0,0,0,0,,,space,0.6344391609309241,space,0.5854650869732723,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
4,Attending a Lecture Breakup,0,4,4,4,0,1,1,1,,,,,space,0.801740161026828,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
4,,0,4,4,4,,,,,,,,,,,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
5,32,0,5,5,5,0,0,0,0,,,space,1.235686324071139,space,1.61916796292644,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
5,Airport Business Deal,0,5,5,5,0,1,1,1,,,,,space,0.9194537989096716,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
5,,0,5,5,5,,,,,,,,,,,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
6,22,0,6,6,6,0,0,0,0,,,space,1.1848729610210285,space,0.6358050359413028,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
6,Airport Proposal,0,6,6,6,0,1,1,1,,,,,space,0.6513153469422832,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
6,,0,6,6,6,,,,,,,,,,,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
7,13,0,7,7,7,0,0,0,0,,,space,1.135608176002279,space,0.6027655900688842,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
7,Grocery Shopping Breakup,0,7,7,7,0,1,1,1,,,,,space,0.7185584460385144,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
7,,0,7,7,7,,,,,,,,,,,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
8,33,0,8,8,8,0,0,0,0,,,space,0.5844823630759493,space,0.7854870490264148,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
8,Grocery Shopping Business Deal,0,8,8,8,0,1,1,1,,,,,space,1.0994766090298072,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
8,,0,8,8,8,,,,,,,,,,,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
9,34,0,9,9,9,0,0,0,0,,,space,0.8691157440189272,space,0.5677858550334349,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
9,Attending a Lecture Business Deal,0,9,9,9,0,1,1,1,,,,,space,0.7697252759244293,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
9,,0,9,9,9,,,,,,,,,,,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
10,11,0,10,10,10,0,0,0,0,,,space,0.8016674609389156,space,0.5020468019647524,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
10,Restaurant- Breakup,0,10,10,10,0,1,1,1,,,,,space,0.9679978579515591,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
10,,0,10,10,10,,,,,,,,,,,1,001,2019_Jan_02_1536,body_updated,59.94485900499272,
,,,,,,,,,,,,space,1.7025421910220757,,,,,,,,
