instruct_text,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,space,0.32116114703239873,,,,,',001,2019_Jun_11_0523,part1_subjective_segmentation,3.0.4,59.7964142482771,
"In this experiment, you will be assuming the perspectives of various jobs while reading short stories.",0,0,0,0,,,space,1.353067010990344,,,',001,2019_Jun_11_0523,part1_subjective_segmentation,3.0.4,59.7964142482771,
There are 4 parts of the experiment. ,0,1,1,1,,,space,0.7695663460181095,,,',001,2019_Jun_11_0523,part1_subjective_segmentation,3.0.4,59.7964142482771,
"In the first part, you'll be introduced to the perspectives of 8 different jobs.",0,2,2,2,,,space,1.7203609650023282,,,',001,2019_Jun_11_0523,part1_subjective_segmentation,3.0.4,59.7964142482771,
You'll learn 4 questions associated with each perspective that you'll use when reading the stories. ,0,3,3,3,,,space,1.6172819600324146,,,',001,2019_Jun_11_0523,part1_subjective_segmentation,3.0.4,59.7964142482771,
The 4 questions for each perspective are learned with quizzes. ,0,4,4,4,,,space,2.586087948002387,,,',001,2019_Jun_11_0523,part1_subjective_segmentation,3.0.4,59.7964142482771,
"In the second part of the experiment, you will read 8 short stories. ",0,5,5,5,,,space,2.068775480031036,,,',001,2019_Jun_11_0523,part1_subjective_segmentation,3.0.4,59.7964142482771,
,,,,,,,,,space,0.8371112220338546,',001,2019_Jun_11_0523,part1_subjective_segmentation,3.0.4,59.7964142482771,
