count,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,order,resp.keys,resp.rt,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
,,,,,[12 31 22 41 13 34 23 44 11 32 21 42 14 33 24 43],s,1.0519879239727743,,,,,,001,2018_Dec_11_1525,body,59.927677479338804,
0,0,0,0,0,,,,space,1.2018717390019447,space,0.5696222910191864,,001,2018_Dec_11_1525,body,59.927677479338804,
1,0,1,1,1,,,,space,1.0510533250053413,space,0.617806929978542,,001,2018_Dec_11_1525,body,59.927677479338804,
2,0,2,2,2,,,,space,0.6004271129495464,space,0.46857439301675186,,001,2018_Dec_11_1525,body,59.927677479338804,
3,0,3,3,3,,,,space,0.45156416099052876,space,0.4850937009905465,,001,2018_Dec_11_1525,body,59.927677479338804,
4,0,4,4,4,,,,space,0.43504094996023923,space,0.40035392896970734,,001,2018_Dec_11_1525,body,59.927677479338804,
5,0,5,5,5,,,,space,0.21833803597837687,space,0.3341245410265401,,001,2018_Dec_11_1525,body,59.927677479338804,
6,0,6,6,6,,,,space,0.2508391330484301,space,0.2512339249951765,,001,2018_Dec_11_1525,body,59.927677479338804,
7,0,7,7,7,,,,space,0.1864633589866571,space,0.15168271801667288,,001,2018_Dec_11_1525,body,59.927677479338804,
8,0,8,8,8,,,,space,0.15166247700108215,space,0.18497267400380224,,001,2018_Dec_11_1525,body,59.927677479338804,
9,0,9,9,9,,,,space,0.18542539601912722,space,0.1833359919837676,,001,2018_Dec_11_1525,body,59.927677479338804,
