count,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,order,resp.keys,resp.rt,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
,,,,,[32 13 42 23 34 11 44 21 33 12 43 22 31 14 41 24],l,1.686337277002167,,,,,,001,2018_Dec_11_1515,body,59.75587467677148,
0,0,0,0,0,,,,space,2.4847201550146565,space,1.7524228119873442,,001,2018_Dec_11_1515,body,59.75587467677148,
1,0,1,1,1,,,,space,0.8516277319868095,space,0.8350342990015633,,001,2018_Dec_11_1515,body,59.75587467677148,
2,0,2,2,2,,,,space,0.9842900520307012,space,0.36825390200829133,,001,2018_Dec_11_1515,body,59.75587467677148,
3,0,3,3,3,,,,space,0.2854986609891057,space,0.23486514698015526,,001,2018_Dec_11_1515,body,59.75587467677148,
4,0,4,4,4,,,,space,0.30183229100657627,space,0.3190501310164109,,001,2018_Dec_11_1515,body,59.75587467677148,
5,0,5,5,5,,,,space,0.2846987509983592,space,0.2998829309944995,,001,2018_Dec_11_1515,body,59.75587467677148,
6,0,6,6,6,,,,space,0.2517446660203859,space,0.23519484599819407,,001,2018_Dec_11_1515,body,59.75587467677148,
7,0,7,7,7,,,,space,0.18479892401956022,space,0.1526987969991751,,001,2018_Dec_11_1515,body,59.75587467677148,
8,0,8,8,8,,,,space,0.15172799897845834,space,0.15199504198972136,,001,2018_Dec_11_1515,body,59.75587467677148,
