count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,psychopyVersion,frameRate,
0,He knew Lana would like this because her style was not flashy but more about simple elegance.,2,2,,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.8362687600000527,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
0,Aaron put the ring back into the bag as the professor began the lecture. ,3,2,,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.169892148000031,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
0,“Recall from previous lectures that the number of protons determines the identity of the element. ,3,2,,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6.669823863000033,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
0,"So for example, all atoms of sodium have 11 protons in the nucleus. ",3,2,,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.5198954450000315,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
0,"And if you look on the periodic table, the atomic number for sodium, the symbol is Na, is eleven.”",3,2,,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.920084485000018,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
0,Lana was taking notes while Aaron was texting all of his friends in the class to get ready for the proposal. ,3,2,,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7.469780100000037,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
0,"Right after talking about how two ions bond into one stable molecule by covalent bonds, the professor stopped the lecture and asked Lana to come to the front of the class to do a demonstration. ",3,2,,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10.937212760000023,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
0,"She walked to the front of the class confused, and the professor asked her to stand in the middle of the stage.",3,2,,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.436106994999989,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
0,"Then Aaron walked up and, taking Lana’s hand, got down on one knee. ",3,3,,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.303185452999969,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
0,"“It's time for us to make a bond of our own, Lana.",3,3,,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.2021161239999856,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
0,Will you marry me?” ,3,3,,0,0,0,0,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.4694472450000262,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
0,Lana gasped and put her other hand to her mouth and started looking around the room as if trying to convince herself that this was really happening.,3,3,,0,0,0,0,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10.837183691999996,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
0,For a few moments everyone was in suspense waiting for the Lana’s shock to wear off and for her to answer. ,3,3,,0,0,0,0,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.620954433999998,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
0,"Finally, she said, “Yes!”",3,4,,0,0,0,0,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.3690939699999944,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
0,"Aaron put the ring on her finger, and they hugged while the whole class clapped. ",3,4,,0,0,0,0,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.486827278000021,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
0,"Their friends came up and hugged both of them, and the professor gave Aaron a celebratory handshake.",3,4,,0,0,0,0,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.7860961239999824,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
0,"They made their way back to their seats, Lana and Aaron hand-in-hand and beaming. ",3,4,,0,0,0,0,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.687035037999976,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
0,"The professor then dismissed the class, saying, “That was enough excitement for today!",4,4,,0,0,0,0,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.418527805999986,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
0,Don’t forget there’s an exam next week on the first two chapters of the textbook.”,4,4,,0,0,0,0,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.436606822999977,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
0,"As everyone was packing up their notebooks and leaving, Lana was already on her phone calling her family members to tell them the exciting news.",4,4,,0,0,0,0,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6.767850137999972,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
1,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,1.1341161000000284,space,2.385956759999999,space,3.5868941850000056,,,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
1,"Simon and Carina noticed each other as they walked into the grocery store at the same time, their carts nearly colliding as they squeezed into the entrance.",1,1,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,9,17.487486312999977,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
1,"They were both new to the Boston area, and this was their first time in this store. ",1,1,,0,1,1,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.735015073999989,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
1,"It kind of looked like a large warehouse, with high unfurnished ceilings, industrial lights, and large packages of food. ",1,1,,0,1,1,1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.303953387999968,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
1,"They went off along separate routes, but soon ended up back together in the meat section. ",2,1,,0,1,1,1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14.52060939300003,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
1,"They were both preparing for barbecues, so they were looking over the same cuts of meat. ",2,1,,0,1,1,1,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.5031537579999963,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
1,"Simon really wanted to talk to Carina, and Carina really wanted to say something to Simon, but they felt embarrassed striking up a conversation with a stranger.",2,1,,0,1,1,1,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7.469950034999954,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
1,"Carina suddenly turned to Simon and, pointing at a Cornish hen, asked, “Isn’t this meat cute?”",2,2,,0,1,1,1,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.686369044999992,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
1,"He laughed, and said, “It is very cute.",2,2,,0,1,1,1,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.1031060280000133,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
1,"Probably the younger brother of this guy,” and he picked up a regular-sized chicken.",2,2,,0,1,1,1,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.2697831880000194,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
1,"“Unlucky family,” she responded. ",2,2,,0,1,1,1,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.086548295,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
1,They continued to chat as they picked out their groceries.,2,2,,0,1,1,1,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4.317642844999966,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
1,"Simon helped Carina pick out the best ribs and his personal favorite barbeque sauce, and she helped him gather the  peppers, onions, and spices for a vegetable kabob she recommended.",2,2,,0,1,1,1,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7.969863205000024,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
1,"When they were both finished shopping, they went to the checkout area.",3,2,,0,1,1,1,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.9695432099999834,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
1,"Simon was disappointed to see that the lines were short, since he had been hoping for an excuse to spend more time with Carina.",3,2,,0,1,1,1,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10.936994924999965,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
1,"They had real chemistry, and both of them could definitely see a future together despite having just met.",3,2,,0,1,1,1,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.536386092999976,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
1,"“So you haven’t been around the city much?”, Simon asked. ",3,2,,0,1,1,1,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.5198184080000487,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
1,"“No, not really.",3,2,,0,1,1,1,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.7673163230000455,,,,,,,,,,,,,,,,,,,021119_p1,001,2019_Feb_11_1420,body_behavioural,3.0.3,59.989808931262935,
