count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,"Senna ordered the oysters with garlic-parmesan sauce, and Alvira ordered the sauteed sea scallops with caramelized apples. ",3,2,None,None,,0,0,0,0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.0006591599999978826,,,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate,001,2019_Feb_20_1333,body_behavioural,3.0.4,59.99598146916206,
0,"“Excellent choices,” the waiter said with a subsequent brisk spin away from the table.",3,2,None,None,,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.10341549199999633,,,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate,001,2019_Feb_20_1333,body_behavioural,3.0.4,59.99598146916206,
0,"“What a beautiful place, Senna. ",3,2,None,None,,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.13594256499999346,,,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate,001,2019_Feb_20_1333,body_behavioural,3.0.4,59.99598146916206,
0,"Really this is too much just to celebrate the first tomatoes I grew in the garden, like, this is absurd,” Alvira said.",3,2,None,None,,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.05131411000000696,,,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate,001,2019_Feb_20_1333,body_behavioural,3.0.4,59.99598146916206,
0,"Senna laughed and said, “No, those were really the best tomatoes I’ve ever had. ",3,2,None,None,,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.03400848300000803,,,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate,001,2019_Feb_20_1333,body_behavioural,3.0.4,59.99598146916206,
0,We had to celebrate.” ,3,2,None,None,,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.4024375280000072,,,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate,001,2019_Feb_20_1333,body_behavioural,3.0.4,59.99598146916206,
0,"They talked and laughed as the sun sank below the horizon, and the glow from the ocean was replaced by the glow from the chandeliers.",3,2,8.0,None,,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.3535608530000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate,001,2019_Feb_20_1333,body_behavioural,3.0.4,59.99598146916206,
0,"The waiter eventually returned with their meals, and everything was even more delicious than they had expected, especially the oysters, which Senna said tasted like the ocean. ",4,2,None,None,,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.13680162500000392,,,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate,001,2019_Feb_20_1333,body_behavioural,3.0.4,59.99598146916206,
0,Then he paused and looked at Alvira meaningfully. ,4,2,None,None,,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.08395863500000189,,,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate,001,2019_Feb_20_1333,body_behavioural,3.0.4,59.99598146916206,
0, “It’s really been the best three years of my life with you.,4,2,None,None,,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.019809909999992215,,,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate,001,2019_Feb_20_1333,body_behavioural,3.0.4,59.99598146916206,
0,"I couldn’t imagine it any other way, and I don’t want to.",4,2,None,None,,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.08659335000000112,,,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate,001,2019_Feb_20_1333,body_behavioural,3.0.4,59.99598146916206,
0,"I really want to spend the rest of my years eating garden tomatoes, whatever it is, with you.” ",4,2,None,None,,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.11951059499999417,,,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate,001,2019_Feb_20_1333,body_behavioural,3.0.4,59.99598146916206,
0,"Alvira smiled, “I want the same with you too, Senna.” ",4,2,None,17.0,,0,0,0,0,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.10254098299999725,,,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate,001,2019_Feb_20_1333,body_behavioural,3.0.4,59.99598146916206,
0,"Senna nodded at the waiter who had been watching attentively, and he quickly strode over to place a small, elegant cake topped with the ring in front of Alvira. ",4,3,None,None,,0,0,0,0,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.05065103299999407,,,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate,001,2019_Feb_20_1333,body_behavioural,3.0.4,59.99598146916206,
0,Her eyes widened in shock when she realized what she was looking at.,4,3,None,None,,0,0,0,0,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.019625933000000373,,,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate,001,2019_Feb_20_1333,body_behavioural,3.0.4,59.99598146916206,
0,"“Alvira, will you marry me? ",4,3,None,None,,0,0,0,0,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.10463339800000426,,,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate,001,2019_Feb_20_1333,body_behavioural,3.0.4,59.99598146916206,
0,"I love you, and I will never stop loving you.” ",4,3,None,None,,0,0,0,0,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.11915417299999831,,,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate,001,2019_Feb_20_1333,body_behavioural,3.0.4,59.99598146916206,
0,Alvira started to cry.,4,3,None,None,,0,0,0,0,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.002933029999994119,,,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate,001,2019_Feb_20_1333,body_behavioural,3.0.4,59.99598146916206,
0,"The room became silent, and everyone turned to their table. ",4,3,None,5.0,,0,0,0,0,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.1024018629999972,,,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate,001,2019_Feb_20_1333,body_behavioural,3.0.4,59.99598146916206,
