4.8343 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [2560, 1440]. Using actual size
5.4936 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x124628cf8>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x127fb1ef0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([5120, 2880]), stereo=False, units='norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.4936 	EXP 	window1: recordFrameIntervals = False
5.6603 	EXP 	window1: recordFrameIntervals = True
5.8435 	EXP 	window1: recordFrameIntervals = False
5.9051 	EXP 	Created welcome = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='welcome', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units='norm', win=Window(...), wrapWidth=1)
5.9086 	EXP 	Created text_12 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_12', opacity=1.0, ori=0, pos=array([ 0. , -0.4]), rgb=array([255., 255., 255.]), text='default text', units='norm', win=Window(...), wrapWidth=1)
5.9156 	EXP 	Imported instructions.xlsx as conditions, 12 conditions, 2 params
5.9158 	EXP 	Created sequence: sequential, trialTypes=12, nReps=1, seed=None
5.9160 	EXP 	New trial (rep=0, index=0): OrderedDict([('instruct_text', 'Welcome to the Job Simulator Task!'), ('instruct_text2', '(press the space bar to continue)')])
5.9602 	EXP 	welcome: text = 'Welcome to the Job Simulator Task!'
5.9602 	EXP 	text_12: text = '(press the space bar to continue)'
5.9602 	EXP 	welcome: autoDraw = True
5.9602 	EXP 	text_12: autoDraw = True
7.4287 	DATA 	Keypress: space
7.4293 	EXP 	New trial (rep=0, index=1): OrderedDict([('instruct_text', 'In this task, you will read 16 stories. During each one you will simulate having one job.\n'), ('instruct_text2', None)])
7.4765 	EXP 	welcome: autoDraw = False
7.4765 	EXP 	text_12: autoDraw = False
7.4765 	EXP 	welcome: text = 'In this task, you will read 16 stories. During each one you will simulate having one job.\n'
7.4765 	EXP 	text_12: text = '(press the space bar to continue)'
7.4765 	EXP 	welcome: autoDraw = True
7.4765 	EXP 	text_12: autoDraw = True
10.9458 	DATA 	Keypress: space
10.9464 	EXP 	New trial (rep=0, index=2): OrderedDict([('instruct_text', 'This job will be assigned to you before each story. '), ('instruct_text2', None)])
10.9786 	EXP 	welcome: autoDraw = False
10.9786 	EXP 	text_12: autoDraw = False
10.9786 	EXP 	welcome: text = 'This job will be assigned to you before each story. '
10.9786 	EXP 	text_12: text = '(press the space bar to continue)'
10.9786 	EXP 	welcome: autoDraw = True
10.9786 	EXP 	text_12: autoDraw = True
14.5811 	DATA 	Keypress: left
15.2148 	DATA 	Keypress: space
15.2154 	EXP 	New trial (rep=0, index=3): OrderedDict([('instruct_text', 'While reading each story, you should imagine yourself as having that job. '), ('instruct_text2', None)])
15.2463 	EXP 	welcome: autoDraw = False
15.2463 	EXP 	text_12: autoDraw = False
15.2463 	EXP 	welcome: text = 'While reading each story, you should imagine yourself as having that job. '
15.2463 	EXP 	text_12: text = '(press the space bar to continue)'
15.2463 	EXP 	welcome: autoDraw = True
15.2463 	EXP 	text_12: autoDraw = True
22.1157 	DATA 	Keypress: space
22.1163 	EXP 	New trial (rep=0, index=4): OrderedDict([('instruct_text', 'There are 8 possible jobs you could be asked to assume.'), ('instruct_text2', None)])
22.1477 	EXP 	welcome: autoDraw = False
22.1477 	EXP 	text_12: autoDraw = False
22.1477 	EXP 	welcome: text = 'There are 8 possible jobs you could be asked to assume.'
22.1477 	EXP 	text_12: text = '(press the space bar to continue)'
22.1477 	EXP 	welcome: autoDraw = True
22.1477 	EXP 	text_12: autoDraw = True
37.5704 	DATA 	Keypress: space
37.5710 	EXP 	New trial (rep=0, index=5): OrderedDict([('instruct_text', 'In addition, your task will be to answer job-related questions.\n'), ('instruct_text2', None)])
37.6024 	EXP 	welcome: autoDraw = False
37.6024 	EXP 	text_12: autoDraw = False
37.6024 	EXP 	welcome: text = 'In addition, your task will be to answer job-related questions.\n'
37.6024 	EXP 	text_12: text = '(press the space bar to continue)'
37.6024 	EXP 	welcome: autoDraw = True
37.6024 	EXP 	text_12: autoDraw = True
40.5049 	DATA 	Keypress: space
40.5055 	EXP 	New trial (rep=0, index=6): OrderedDict([('instruct_text', 'There are four question particular to each job.'), ('instruct_text2', None)])
40.5382 	EXP 	welcome: autoDraw = False
40.5382 	EXP 	text_12: autoDraw = False
40.5382 	EXP 	welcome: text = 'There are four question particular to each job.'
40.5382 	EXP 	text_12: text = '(press the space bar to continue)'
40.5382 	EXP 	welcome: autoDraw = True
40.5382 	EXP 	text_12: autoDraw = True
56.7440 	DATA 	Keypress: space
56.7447 	EXP 	New trial (rep=0, index=7): OrderedDict([('instruct_text', 'You will have to try to memorize these questions and then remember your answers to the questions.'), ('instruct_text2', None)])
56.7757 	EXP 	welcome: autoDraw = False
56.7757 	EXP 	text_12: autoDraw = False
56.7757 	EXP 	welcome: text = 'You will have to try to memorize these questions and then remember your answers to the questions.'
56.7757 	EXP 	text_12: text = '(press the space bar to continue)'
56.7757 	EXP 	welcome: autoDraw = True
56.7757 	EXP 	text_12: autoDraw = True
65.1630 	DATA 	Keypress: space
65.1638 	EXP 	New trial (rep=0, index=8): OrderedDict([('instruct_text', 'You will asked about the answers to these questions at end of the experiment. '), ('instruct_text2', None)])
65.1956 	EXP 	welcome: autoDraw = False
65.1956 	EXP 	text_12: autoDraw = False
65.1956 	EXP 	welcome: text = 'You will asked about the answers to these questions at end of the experiment. '
65.1956 	EXP 	text_12: text = '(press the space bar to continue)'
65.1956 	EXP 	welcome: autoDraw = True
65.1956 	EXP 	text_12: autoDraw = True
66.9967 	DATA 	Keypress: space
66.9973 	EXP 	New trial (rep=0, index=9): OrderedDict([('instruct_text', 'In order to help you memorize the questions, there will be a short quiz on them before the actual task begins.'), ('instruct_text2', None)])
67.0284 	EXP 	welcome: autoDraw = False
67.0284 	EXP 	text_12: autoDraw = False
67.0284 	EXP 	welcome: text = 'In order to help you memorize the questions, there will be a short quiz on them before the actual task begins.'
67.0284 	EXP 	text_12: text = '(press the space bar to continue)'
67.0284 	EXP 	welcome: autoDraw = True
67.0284 	EXP 	text_12: autoDraw = True
70.2487 	DATA 	Keypress: space
70.2493 	EXP 	New trial (rep=0, index=10): OrderedDict([('instruct_text', 'In addition, before each story, there will be a reminder of what these questions are.  '), ('instruct_text2', None)])
70.2807 	EXP 	welcome: autoDraw = False
70.2807 	EXP 	text_12: autoDraw = False
70.2807 	EXP 	welcome: text = 'In addition, before each story, there will be a reminder of what these questions are.  '
70.2807 	EXP 	text_12: text = '(press the space bar to continue)'
70.2807 	EXP 	welcome: autoDraw = True
70.2807 	EXP 	text_12: autoDraw = True
74.1158 	DATA 	Keypress: space
74.1163 	EXP 	New trial (rep=0, index=11): OrderedDict([('instruct_text', 'Press the space bar to begin learning the jobs and the questions for each one.'), ('instruct_text2', None)])
74.1489 	EXP 	welcome: autoDraw = False
74.1489 	EXP 	text_12: autoDraw = False
74.1489 	EXP 	welcome: text = 'Press the space bar to begin learning the jobs and the questions for each one.'
74.1489 	EXP 	text_12: text = '(press the space bar to continue)'
74.1489 	EXP 	welcome: autoDraw = True
74.1489 	EXP 	text_12: autoDraw = True
75.4015 	DATA 	Keypress: space
75.6846 	EXP 	window1: mouseVisible = True
