count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,frameRate,
1,Thomas picked at his fingernails.,2,1,None,22.0,,0,1,1,1,0,20,20,20,,,,,,,,,,,,,,,,,,,1,0.01802266703452915,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,"“Look, Sadie, I’ve been thinking, and I need to figure out some stuff… on my own.”",2,2,None,None,,0,1,1,1,0,21,21,21,,,,,,,,,,,,,,,,,,,9,0.06910275598056614,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,"Sadie’s mouth popped open for a moment, then she swallowed and shifted back in her seat.",2,2,None,None,,0,1,1,1,0,22,22,22,,,,,,,,,,,,,,,,,,,1,0.018120573018677533,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,“Things have been really picking up at work.,2,2,None,None,,0,1,1,1,0,23,23,23,,,,,,,,,,,,,,,,,,,9,0.0682665309868753,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,And I’m not sure that this is the job I want to do anymore.,2,2,None,None,,0,1,1,1,0,24,24,24,,,,,,,,,,,,,,,,,,,1,0.034151526051573455,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,It’s been really overwhelming between working and figuring out if I should change careers.” ,2,2,17.0,None,,0,1,1,1,0,25,25,25,,,,,,,,,,,,,,,,,,,9,0.051046065986156464,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,The waiter appeared and interrupted the speech Thomas had been practicing.,3,2,None,None,,0,1,1,1,0,26,26,26,,,,,,,,,,,,,,,,,,,1,0.06918946094810963,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,“Hello you two!,3,2,None,None,,0,1,1,1,0,27,27,27,,,,,,,,,,,,,,,,,,,9,0.052087450050748885,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,Have you decided what you would like?”,3,2,None,None,,0,1,1,1,0,28,28,28,,,,,,,,,,,,,,,,,,,9,0.11882458999752998,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,"Thomas and Sadie realized there were menus on the table, and they glanced at the lengthy list quickly.",3,2,None,None,,0,1,1,1,0,29,29,29,,,,,,,,,,,,,,,,,,,9,0.1182160449679941,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,"There were so many strange dishes they had never heard of before, so they settled on familiar orders.",3,2,None,None,,0,1,1,1,0,30,30,30,,,,,,,,,,,,,,,,,,,9,0.15166045597288758,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,"“I’ll have a burger, no tomatoes,” Thomas said.",3,2,None,None,,0,1,1,1,0,31,31,31,,,,,,,,,,,,,,,,,,,1,0.05186879902612418,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,"Sadie asked about the reuben, and the waiter told her it was excellent.",3,2,None,None,,0,1,1,1,0,32,32,32,,,,,,,,,,,,,,,,,,,9,0.034512620070017874,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1," Once she agreed to get that, he walked away. ",3,2,None,None,,0,1,1,1,0,33,33,33,,,,,,,,,,,,,,,,,,,1,0.06845307000912726,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,Sadie and Thomas looked at each other. ,3,2,None,None,,0,1,1,1,0,34,34,34,,,,,,,,,,,,,,,,,,,9,0.034377955948002636,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,“So what are you saying?” Sadie asked. ,3,2,None,None,,0,1,1,1,0,35,35,35,,,,,,,,,,,,,,,,,,,9,0.1357348089804873,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,"Thomas replied, “I want to take a break for awhile.",3,2,None,None,,0,1,1,1,0,36,36,36,,,,,,,,,,,,,,,,,,,9,0.11872923001646996,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,"You know, take space to figure out what I’m supposed to be doing.”",3,2,None,17.0,,0,1,1,1,0,37,37,37,,,,,,,,,,,,,,,,,,,1,0.06694915192201734,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,Sadie quietly burst into tears. ,3,3,None,None,,0,1,1,1,0,38,38,38,,,,,,,,,,,,,,,,,,,9,0.0685483340639621,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,"Nevertheless, people sitting at the adjacent table looked over, and then averted their gaze as they realized what was happening. ",3,3,None,None,,0,1,1,1,0,39,39,39,,,,,,,,,,,,,,,,,,,1,0.13565544201992452,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,“Is this really what you want?,3,3,None,None,,0,1,1,1,0,40,40,40,,,,,,,,,,,,,,,,,,,9,0.05269980407319963,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,I don’t understand.,3,3,None,None,,0,1,1,1,0,41,41,41,,,,,,,,,,,,,,,,,,,9,0.1693644030019641,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
