instruct_text,instruct_text2,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_8.keys,key_resp_8.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,(press the space bar to continue),0,0,0,0,space,0.6067044029914541,',001,2019_Feb_04_1642,part1_subjective_segmentation,60.01619849007476,
"In this task, you’ll first be introduced to the perspectives of 8 different jobs. ",None,0,1,1,1,space,6.702168809002615,',001,2019_Feb_04_1642,part1_subjective_segmentation,60.01619849007476,
You’ll then learn 4 questions associated with each perspective. ,None,0,2,2,2,space,15.539505516993813,',001,2019_Feb_04_1642,part1_subjective_segmentation,60.01619849007476,
"Subsequently, you will be asked to apply those perspectives and questions to 8 stories.",None,0,3,3,3,space,13.540249835001305,',001,2019_Feb_04_1642,part1_subjective_segmentation,60.01619849007476,
"For each story you read, you will be asked to assume one of the perspectives. ",None,0,4,4,4,space,14.039458024009946,',001,2019_Feb_04_1642,part1_subjective_segmentation,60.01619849007476,
"While reading, try to remember the perspective and the questions of that perspective. ",None,0,5,5,5,space,1.884409829013748,',001,2019_Feb_04_1642,part1_subjective_segmentation,60.01619849007476,
