instructText,count,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,story_list_block1,action_list_block1,story_list_block2,action_list_block2,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_13.started,text_13.stopped,text_23.started,text_23.stopped,text_43.started,text_43.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,text_44.started,text_44.stopped,text_53.started,text_53.stopped,image_10.started,image_10.stopped,text_22.started,text_22.stopped,recall,question1_answer,order of question,text_14.started,text_14.stopped,text_15.started,text_15.stopped,image_6.started,image_6.stopped,polygon_3.started,polygon_3.stopped,bottom_line_3.started,bottom_line_3.stopped,right_line_3.started,right_line_3.stopped,left_line_3.started,left_line_3.stopped,question2_answer,text_16.started,text_16.stopped,text_17.started,text_17.stopped,image_7.started,image_7.stopped,polygon_4.started,polygon_4.stopped,bottom_line_4.started,bottom_line_4.stopped,right_line_4.started,right_line_4.stopped,left_line_4.started,left_line_4.stopped,question3_answer,text_18.started,text_18.stopped,text_19.started,text_19.stopped,image_8.started,image_8.stopped,polygon_5.started,polygon_5.stopped,bottom_line_5.started,bottom_line_5.stopped,right_line_5.started,right_line_5.stopped,left_line_5.started,left_line_5.stopped,question4_answer,text_20.started,text_20.stopped,text_21.started,text_21.stopped,image_9.started,image_9.stopped,polygon_6.started,polygon_6.stopped,bottom_line_6.started,bottom_line_6.stopped,right_line_6.started,right_line_6.stopped,left_line_6.started,left_line_6.stopped,question5_answer,text_25.started,text_25.stopped,text_26.started,text_26.stopped,image_11.started,image_11.stopped,polygon_7.started,polygon_7.stopped,bottom_line_7.started,bottom_line_7.stopped,right_line_7.started,right_line_7.stopped,left_line_7.started,left_line_7.stopped,question6_answer,text_27.started,text_27.stopped,text_28.started,text_28.stopped,image_12.started,image_12.stopped,polygon_8.started,polygon_8.stopped,bottom_line_8.started,bottom_line_8.stopped,right_line_8.started,right_line_8.stopped,left_line_8.started,left_line_8.stopped,question7_answer,text_29.started,text_29.stopped,text_30.started,text_30.stopped,image_13.started,image_13.stopped,polygon_9.started,polygon_9.stopped,bottom_line_9.started,bottom_line_9.stopped,right_line_9.started,right_line_9.stopped,left_line_9.started,left_line_9.stopped,question8_answer,text_31.started,text_31.stopped,text_32.started,text_32.stopped,image_14.started,image_14.stopped,polygon_10.started,polygon_10.stopped,bottom_line_10.started,bottom_line_10.stopped,right_line_10.started,right_line_10.stopped,left_line_10.started,left_line_10.stopped,text_36.started,text_36.stopped,participant,sA,sB,lA,lB,block_struct,random_seed,date,expName,psychopyVersion,frameRate,
,3,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022420,0,1,0,2,0,4,2020_Feb_24_1652,short_answer,3.2.4,59.85067436309059,
,4,,,,,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,620.0275830230003,None,space,0.9680749099998138,620.0275830230003,None,620.0275830230003,None,620.0275830230003,None,621.0449244929996,None,621.0449244929996,None,I don't know.,"Maybe for a while, can't remember too clearly","[1, 2]",622.7285085860003,None,622.7285085860003,None,622.7285085860003,None,622.7285085860003,None,622.7285085860003,None,622.7285085860003,None,622.7285085860003,None,That she will be studying abroad and so they will be not be together in person and so long distance is too difficult.,657.7438835940002,None,657.7438835940002,None,657.7438835940002,None,657.7438835940002,None,657.7438835940002,None,657.7438835940002,None,657.7438835940002,None,I don't think so. he says he likes her and can visit her.,747.442474556,None,747.442474556,None,747.442474556,None,747.442474556,None,747.442474556,None,747.442474556,None,747.442474556,None,A favorite sweater i think.,770.4921813050005,None,770.4921813050005,None,770.4921813050005,None,770.4921813050005,None,770.4921813050005,None,770.4921813050005,None,770.4921813050005,None,Can't remember ... ,780.9427502340004,None,780.9427502340004,None,780.9427502340004,None,780.9427502340004,None,780.9427502340004,None,780.9427502340004,None,780.9427502340004,None,I think it was on aristotle. and this is a philosophy class.,803.7757161130003,None,803.7757161130003,None,803.7757161130003,None,803.7757161130003,None,803.7757161130003,None,803.7757161130003,None,803.7757161130003,None,Aristotle.,820.4263902680004,None,820.4263902680004,None,820.4263902680004,None,820.4263902680004,None,820.4263902680004,None,820.4263902680004,None,820.4263902680004,None,I don't know.,829.0755037959998,None,829.0755037959998,None,829.0755037959998,None,829.0755037959998,None,829.0755037959998,None,829.0755037959998,None,829.0755037959998,None,,,022420,0,1,0,2,0,4,2020_Feb_24_1652,short_answer,3.2.4,59.85067436309059,
,4,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022420,0,1,0,2,0,4,2020_Feb_24_1652,short_answer,3.2.4,59.85067436309059,
,5,,,,,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,842.0246793300003,None,space,1.0336658730002455,842.0246793300003,None,842.0246793300003,None,842.0246793300003,None,843.0922084160002,None,843.0922084160002,None,A hug,Modern i think,"[2, 1]",844.074916988,None,844.074916988,None,844.074916988,None,844.074916988,None,844.074916988,None,844.074916988,None,844.074916988,None,I don't remember,854.1418253230004,None,854.1418253230004,None,854.1418253230004,None,854.1418253230004,None,854.1418253230004,None,854.1418253230004,None,854.1418253230004,None,Finance maybe,859.458433152,None,859.458433152,None,859.458433152,None,859.458433152,None,859.458433152,None,859.458433152,None,859.458433152,None,I don't remember,865.0581229460004,None,865.0581229460004,None,865.0581229460004,None,865.0581229460004,None,865.0581229460004,None,865.0581229460004,None,865.0581229460004,None,One is a finance person and the other is a developer of some sort,871.2583188300005,None,871.2583188300005,None,871.2583188300005,None,871.2583188300005,None,871.2583188300005,None,871.2583188300005,None,871.2583188300005,None,2000,905.0902878480001,None,905.0902878480001,None,905.0902878480001,None,905.0902878480001,None,905.0902878480001,None,905.0902878480001,None,905.0902878480001,None,Don't remember,912.174541163,None,912.174541163,None,912.174541163,None,912.174541163,None,912.174541163,None,912.174541163,None,912.174541163,None,A hug,916.8743156460005,None,916.8743156460005,None,916.8743156460005,None,916.8743156460005,None,916.8743156460005,None,916.8743156460005,None,916.8743156460005,None,,,022420,0,1,0,2,0,4,2020_Feb_24_1652,short_answer,3.2.4,59.85067436309059,
,5,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022420,0,1,0,2,0,4,2020_Feb_24_1652,short_answer,3.2.4,59.85067436309059,
,6,,,,,0,6,6,6,0,0,0,0,,,,,,,,,,,,,,,,,920.4567702370005,None,space,0.9059669050002412,920.4567702370005,None,920.4567702370005,None,920.4567702370005,None,921.4066025230004,None,921.4066025230004,None,Very fresh. very happy.,They are at the airport and i think james notices teresa  but not what they were holding,"[1, 2]",922.2906278290002,None,922.2906278290002,None,922.2906278290002,None,922.2906278290002,None,922.2906278290002,None,922.2906278290002,None,922.2906278290002,None,I can't remember.,1025.0895789639999,None,1025.0895789639999,None,1025.0895789639999,None,1025.0895789639999,None,1025.0895789639999,None,1025.0895789639999,None,1025.0895789639999,None,"When one of them comes back from a trip, they will meet.",1056.023431226,None,1056.023431226,None,1056.023431226,None,1056.023431226,None,1056.023431226,None,1056.023431226,None,1056.023431226,None,Departure time.,1080.255451051,None,1080.255451051,None,1080.255451051,None,1080.255451051,None,1080.255451051,None,1080.255451051,None,1080.255451051,None,This was not at a restaurant ....,1089.055387501,None,1089.055387501,None,1089.055387501,None,1089.055387501,None,1089.055387501,None,1089.055387501,None,1089.055387501,None,This was at a restaurantquestionquestion oh shoot this was the sushi placequestion,1121.3878512930005,None,1121.3878512930005,None,1121.3878512930005,None,1121.3878512930005,None,1121.3878512930005,None,1121.3878512930005,None,1121.3878512930005,None,One orders salmon with japanese beer and the other tuna with someone else.,1138.5038780100003,None,1138.5038780100003,None,1138.5038780100003,None,1138.5038780100003,None,1138.5038780100003,None,1138.5038780100003,None,1138.5038780100003,None,Very fresh. very happy.,1224.4200385430004,None,1224.4200385430004,None,1224.4200385430004,None,1224.4200385430004,None,1224.4200385430004,None,1224.4200385430004,None,1224.4200385430004,None,,,022420,0,1,0,2,0,4,2020_Feb_24_1652,short_answer,3.2.4,59.85067436309059,
,6,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022420,0,1,0,2,0,4,2020_Feb_24_1652,short_answer,3.2.4,59.85067436309059,
,7,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022420,0,1,0,2,0,4,2020_Feb_24_1652,short_answer,3.2.4,59.85067436309059,
,8,,,,,0,8,8,8,0,0,0,0,,,,,,,,,,,,,,,,,1235.9201239410004,None,space,0.6608378089995313,1235.9201239410004,None,1235.9201239410004,None,1235.9201239410004,None,1236.6200071020003,None,1236.6200071020003,None,4pm,"It wasn't a hall, more like a small classroom.","[2, 1]",1240.3199002820002,None,1240.3199002820002,None,1240.3199002820002,None,1240.3199002820002,None,1240.3199002820002,None,1240.3199002820002,None,1240.3199002820002,None,"I forget, and i know that leon and ariana don't remember either as they weren't paying attention",1255.6357622320002,None,1255.6357622320002,None,1255.6357622320002,None,1255.6357622320002,None,1255.6357622320002,None,1255.6357622320002,None,1255.6357622320002,None,Greek tragedy,1346.0857887270004,None,1346.0857887270004,None,1346.0857887270004,None,1346.0857887270004,None,1346.0857887270004,None,1346.0857887270004,None,1346.0857887270004,None,The two didn't really pay attention.,1359.951751175,None,1359.951751175,None,1359.951751175,None,1359.951751175,None,1359.951751175,None,1359.951751175,None,1359.951751175,None,I don't know. maybe she was holding her head high and seemed confident. ,1375.4190029580004,None,1375.4190029580004,None,1375.4190029580004,None,1375.4190029580004,None,1375.4190029580004,None,1375.4190029580004,None,1375.4190029580004,None,"Leon to ariana, hey are you from florida",1447.68389355,None,1447.68389355,None,1447.68389355,None,1447.68389355,None,1447.68389355,None,1447.68389355,None,1447.68389355,None,"Later that day, for a datesy walk",1523.766310203,None,1523.766310203,None,1523.766310203,None,1523.766310203,None,1523.766310203,None,1523.766310203,None,1523.766310203,None,4pm,1537.2830980489998,None,1537.2830980489998,None,1537.2830980489998,None,1537.2830980489998,None,1537.2830980489998,None,1537.2830980489998,None,1537.2830980489998,None,,,022420,0,1,0,2,0,4,2020_Feb_24_1652,short_answer,3.2.4,59.85067436309059,
,8,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022420,0,1,0,2,0,4,2020_Feb_24_1652,short_answer,3.2.4,59.85067436309059,
