count,audio,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story_presses.rt,key_resp_16.keys,key_resp_16.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,parcelated_audio/34/34_14.aiff,,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.30334022699935304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082919_p2,001,2019_Aug_29_1523,body_behavioural,3.0.4,60.00098521612661,
0,parcelated_audio/34/34_15.aiff,,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.3527775829998063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082919_p2,001,2019_Aug_29_1523,body_behavioural,3.0.4,60.00098521612661,
0,parcelated_audio/34/34_16.aiff,,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.6531990430003134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082919_p2,001,2019_Aug_29_1523,body_behavioural,3.0.4,60.00098521612661,
0,parcelated_audio/34/34_17.aiff,,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.5863759819994812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082919_p2,001,2019_Aug_29_1523,body_behavioural,3.0.4,60.00098521612661,
0,parcelated_audio/34/34_18.aiff,,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.5365604769995116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082919_p2,001,2019_Aug_29_1523,body_behavioural,3.0.4,60.00098521612661,
0,parcelated_audio/34/34_19.aiff,,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.5364474799998789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082919_p2,001,2019_Aug_29_1523,body_behavioural,3.0.4,60.00098521612661,
0,parcelated_audio/34/34_20.aiff,,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.9696398120004233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082919_p2,001,2019_Aug_29_1523,body_behavioural,3.0.4,60.00098521612661,
0,parcelated_audio/34/34_21.aiff,,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.45313436499964155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082919_p2,001,2019_Aug_29_1523,body_behavioural,3.0.4,60.00098521612661,
0,parcelated_audio/34/34_22.aiff,,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.3006977699997151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082919_p2,001,2019_Aug_29_1523,body_behavioural,3.0.4,60.00098521612661,
0,parcelated_audio/34/34_23.aiff,,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.3198507499992047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082919_p2,001,2019_Aug_29_1523,body_behavioural,3.0.4,60.00098521612661,
